Lista;Grupo;FamIlia;Especie.Simplificado;NomeComum;CategoriaAmeaCa;Status;Bioma;PrincipaisAmeacas;PresencaAreasProtegidas;PAN;OrdenamentoPesqueiro ;Nivel.Protecao.Estrategia.Nacional;Especie.exclusiva.Brasil;EstadosOcorrencia
Flora;Angiospermas;Cactaceae;Pilosocereus glaucochrous;-;Vulnerável (VU);VU;"Caatinga; Cerrado";Perda de Habitat/Degradação (Induzida por Humanos), Baixa Densidade;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Cactaceae;Pilosocereus magnificus;Facheiro;Em Perigo (EN);EN;Caatinga;Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos), Extração de Não Madereiras;Não;Não;Não;2;Sim;MG
Flora;Angiospermas;Cactaceae;Pilosocereus multicostatus;-;Em Perigo (EN);EN;Caatinga;Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;2;Sim;MG
Fauna;Peixes Continentais;Heptapteridae;Pimelodella kronei;Bagre-cego-de-iporanga;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Mineracao; Poluição";Sim;Não;Sim;2;Sim;SP
Fauna;Peixes Continentais;Heptapteridae;Pimelodella spelaea;Desconhecido;Em Perigo (EN);EN;Cerrado;"Outras Atividades Econômicas:Turismo; Poluição";Sim;Não;Não;2;Sim;GO
Fauna;Peixes Continentais;Pimelodidae;Pimelodus halisodous;Desconhecido;Vulnerável (VU);VU;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;TO
Fauna;Peixes Continentais;Pimelodidae;Pimelodus joannis;Desconhecido;Vulnerável (VU);VU;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;TO
Fauna;Peixes Continentais;Pimelodidae;Pimelodus stewartii;Desconhecido;Vulnerável (VU);VU;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;TO
Fauna;Aves;Psittacidae;Pionus reichenowi;Maitaca-de-barriga-azul;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;4;Sim;"AL; BA; ES; PE"
Flora;Angiospermas;Piperaceae;Piper amparoense;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Informação não disponível;"MG; SP"
