Lista;Grupo;FamIlia;Especie.Simplificado;NomeComum;CategoriaAmeaCa;Status;Bioma;PrincipaisAmeacas;PresencaAreasProtegidas;PAN;OrdenamentoPesqueiro ;Nivel.Protecao.Estrategia.Nacional;Especie.exclusiva.Brasil;EstadosOcorrencia
Flora;Angiospermas;Rubiaceae;Carapichea ipecacuanha;-;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Extração Direta, Fatores Intrínsecos;Sim;Não;Não;2;Não;"RO; BA; PE; PA; ES; CE; GO; MT; ES; MG; SP; RJ"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus galapagensis;Tubarão-das-galápagos;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;PE
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus longimanus;Tubarão-galha-branca;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;3;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus obscurus;Cação-fidalgo;Em Perigo (EN);EN;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;2;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus perezi;Tubarão-dos-recifes;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; RS; SE"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus plumbeus;Tubarão-galhudo;Criticamente em Perigo (CR);CR;Marinho;"Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Poluição";Sim;Sim;Sim;2;Não;"AL; AP; BA; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus porosus;Cação-azeiteiro;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Marinhos;Carcharhinidae;Carcharhinus signatus;Cação-noturno;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;"RS; SC"
Fauna;Peixes Marinhos;Odontaspididae;Carcharias taurus;Cação-mangona;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;"PR; RS; SC; SP"
Fauna;Peixes Marinhos;Lamnidae;Carcharodon carcharias;Tubarão-branco;Vulnerável (VU);VU;Marinho;"Extracao Direta:Caça/Pesca; Poluição";Sim;Sim;Não;3;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Invertebrados Aquáticos;Gecarcinidae;Cardisoma guanhumi;Guaiamum;Criticamente em Perigo (CR);CR;Marinho;"Agropecuária Aquacultura; Assentamento Humano:cidades";Sim;Sim;Sim;3;Não;"AL; BA; CE; ES; PB; PE; RJ; RN; SC; SE; SP"
Fauna;Répteis;Cheloniidae;Caretta caretta;Tartaruga-cabeçuda;Em Perigo (EN);EN;Marinho;"Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo; Poluição";Sim;Sim;Sim;4;Não;"AL; BA; ES; RJ; SE"
Flora;Angiospermas;Lecythidaceae;Cariniana ianeirensis;Jequitibá-açu;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Informação não disponível;"MG; SP; PR "
Flora;Angiospermas;Lecythidaceae;Cariniana legalis;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Sim;"BA; PB; PE; ES; MG; RJ; SP; PR"
Flora;Angiospermas;Lecythidaceae;Cariniana parvifolia;jequitibá-cravino;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Fauna;Aves;Cotingidae;Carpornis melanocephala;Sabiá-pimenta;Vulnerável (VU);VU;Mata Atlântica;"Extracao Florestal; Queimadas";Sim;Não;Não;3;Sim;"AL; BA; ES; MG; PR; RJ; SE; SP"
Fauna;Invertebrados Terrestres;Lycidae;Cartagonum apiuba;Besouro;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Queimadas";Sim;Não;Não;3;Sim;SP
Fauna;Aves;Cardinalidae;Caryothraustes canadensis frontalis;Furriel ;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Extracao Direta:Caça/Pesca";Sim;Sim;Não;2;Sim;"AL; PE"
Flora;Angiospermas;Salicaceae;Casearia paranaensis;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;PA
Fauna;Invertebrados Aquáticos;Cassidulidae;Cassidulus mitis;Ouriço-do-mar;Em Perigo (EN);EN;Marinho;Poluição;Sim;Não;Não;2;Sim;"RJ; SP"
Flora;Angiospermas;Simaroubaceae;Castela tweedii;romãzeirinha;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Não;"PR; SC; RS; MS"
Fauna;Invertebrados Terrestres;Aeshnidae;Castoraeschna januaria;Libélula;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades";Não;Não;Não;0;Não;"MG; SP"
Flora;Angiospermas;Orchidaceae;Catasetum mattosianum;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Asteraceae;Catolesia mentiens;-;Criticamente em Perigo (CR);CR;Cerrado;Agropecuária, Extração de Madeira, Queimadas;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Orchidaceae;Cattleya aclandiae;-;Vulnerável (VU);VU;"Caatinga; Mata Atlântica";Extração direta/Coleta;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Orchidaceae;Cattleya dormaniana;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Sim;Não;3;Sim;RJ
Flora;Angiospermas;Orchidaceae;Cattleya granulosa;-;Vulnerável (VU);VU;Mata Atlântica;Assentamentos Humanos: Cidades, Extração direta/Coleta, Espécies Invasoras;Sim;Não;Não;2;Sim;"AL; BA; PB; PE; RN; ES"
Flora;Angiospermas;Orchidaceae;Cattleya guttata;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Extração de Não Madereiras, Mudanças na Dinâmica das Espécies Nativas;Sim;Não;Não;3;Sim;"BA; PE; ES; MG; RJ; SP; PR; RS; SC"
Flora;Angiospermas;Orchidaceae;Cattleya harrisoniana;-;Vulnerável (VU);VU;Mata Atlântica;Extração de Não Madereiras, Agropecuária;Sim;Não;Não;2;Sim;"ES; MG; RJ; SP"
Flora;Angiospermas;Orchidaceae;Cattleya intermedia;-;Vulnerável (VU);VU;Mata Atlântica;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos), Extração de Não Madereiras, Mudança na Dinâmica das Espécies Nativas, Queimadas;Sim;Sim;Não;3;Sim;"RJ; SP; PR; RS; SC"
Flora;Angiospermas;Orchidaceae;Cattleya labiata;-;Vulnerável (VU);VU;"Caatinga; Mata Atlântica";Perda de Habitat/Degradação (Induzida por Humanos), Extração Direta;Sim;Não;Não;2;Sim;"AL; BA; CE; PB; PE; SE; ES; RJ"
Flora;Angiospermas;Orchidaceae;Cattleya porphyroglossa;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"BA; MG; RJ; PR; SC"
Flora;Angiospermas;Orchidaceae;Cattleya schilleriana;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"BA; ES; RJ"
Flora;Angiospermas;Orchidaceae;Cattleya schofieldiana;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Extração de Não Madereiras;Não;Não;Não;2;Sim;"RJ; ES"
Flora;Angiospermas;Orchidaceae;Cattleya tenuis;-;Em Perigo (EN);EN;"Caatinga; Cerrado";Extração Direta;Sim;Não;Não;2;Sim;"BA; PE"
Flora;Angiospermas;Orchidaceae;Cattleya tigrina;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Sim;"BA; PE; SE; SP RS; SC"
Flora;Angiospermas;Orchidaceae;Cattleya velutina;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"ES; RJ; SP"
Flora;Angiospermas;Orchidaceae;Cattleya walkeriana;-;Vulnerável (VU);VU;"Amazônia; Cerrado";Extração direta/Coleta, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Sim;"TO; BA; DF; GO; MT; MG; SP"
Flora;Angiospermas;Orchidaceae;Cattleya warneri;-;Vulnerável (VU);VU;Mata Atlântica;Extração Direta;Sim;Não;Não;2;Sim;"ES; MG; RJ"
Fauna;Mamíferos;Caviidae;Cavia intermedia;Preá;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Outras Atividades Econômicas:Turismo; Queimadas";Sim;Não;Não;1;Sim;SC
Fauna;Mamíferos;Cebidae;Cebus kaapori;Caiarara;Criticamente em Perigo (CR);CR;Amazônia;"Agropecuária; Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Transporte; Queimadas";Sim;Sim;Não;3;Sim;"MA; PA"
Flora;Angiospermas;Meliaceae;Cedrela fissilis;-;Vulnerável (VU);VU;"Amazônia; Cerrado; Mata Atlântica";Extração de Madeira;Sim;Sim;Não;3;Não;"AC; AM; PA; RO; TO; AL; BA; CE; MA; PB; PE; PI; SE; DF; GO; MS; MT; ES; MG; SP; RJ; PR; RS; SC"
Flora;Angiospermas;Meliaceae;Cedrela lilloi;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Não;"PR; SC; RS; MS"
Flora;Angiospermas;Meliaceae;Cedrela odorata;"cedro; cedro branco; cedro rosa; cedro vermelho";Vulnerável (VU);VU;"Amazônia; Caatinga; Cerrado; Mata Atlântica";Extração de Madeira;Sim;Sim;Não;3;Não;"AC; AM; AP; PA; RO; AL; BA; CE; MA; PR; PE; SE; DF; GO; MT; MS; ES; MG; SP; RJ; PR; SC"
Fauna;Invertebrados Terrestres;Ctenidae;Celaetycheus mungunza;Desconhecido;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Não;Não;Não;0;Sim;BA
Fauna;Aves;Picidae;Celeus flavus subflavus;Pica-pau-amarelo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Agropecuária Aquacultura; Extracao Florestal; Queimadas";Sim;Não;Não;2;Sim;"BA; ES"
Fauna;Aves;Picidae;Celeus obrieni;Pica-pau-do-parnaíba;Vulnerável (VU);VU;Cerrado;"Agropecuária; Outras Atividades Econômicas:Energia; Queimadas";Sim;Não;Não;2;Sim;"BA; GO; MA; MT; PA; PI; TO"
Fauna;Aves;Picidae;Celeus torquatus pieteroyensi;Pica-pau-de-coleira ;Em Perigo (EN);EN;Amazônia;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"MA; PA"
Fauna;Aves;Picidae;Celeus torquatus tinnunculus;Pica-pau-de-coleira ;Vulnerável (VU);VU;Mata Atlântica;"Extracao Florestal; Queimadas";Sim;Sim;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Orchidaceae;Centroglossa castellensis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Fabaceae;Centrolobium paraense;-;Em Perigo (EN);EN;Amazônia;Extração de Madeira;Sim;Não;Não;2;Não;RO
Flora;Angiospermas;Fabaceae;Centrosema carajasense;-;Vulnerável (VU);VU;Amazônia;Mineração, Extração para Combustível;Sim;Não;Não;2;Sim;"PR; MT"
Fauna;Invertebrados Terrestres;Ciidae;Ceracis cassumbensis;Desconhecido;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Especies Exoticas; Outras Atividades Econômicas:Turismo";Sim;Não;Não;1;Sim;BA
Flora;Pteridófitas;Polypodiaceae;Ceradenia capillaris;-;Vulnerável (VU);VU;Mata Atlântica;Mineração;Sim;Não;Não;2;Sim;"MG; ES; RJ; "
Flora;Pteridófitas;Polypodiaceae;Ceradenia glaziovii;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"RJ; SP; MG"
Flora;Pteridófitas;Polypodiaceae;Ceradenia warmingii;-;Criticamente em Perigo (CR);CR;Cerrado;Mineração;Sim;Não;Não;2;Sim;MG
Fauna;Aves;Thamnophilidae;Cercomacra ferdinandi;Chororó-de-goiás;Vulnerável (VU);VU;Cerrado;Outras Atividades Econômicas:Energia;Sim;Sim;Não;4;Sim;"GO; DF; MA; MT; PA; TO"
Fauna;Peixes Marinhos;Microdesmidae;Cerdale fasciata;Peixe-lombriga-listrado;Em Perigo (EN);EN;Marinho;"Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição";Sim;Sim;Sim;3;Sim;BA
Flora;Angiospermas;Cactaceae;Cereus mirabella;-;Vulnerável (VU);VU;Cerrado;Agropecuária;Sim;Não;Não;2;Sim;"MG; GO; TO; BA; MA"
Fauna;Mamíferos;Cricetidae;Cerradomys goytaca;Rato-do-chão;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Especies Exoticas; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Não;Não;2;Sim;"ES; RJ"
Fauna;Peixes Marinhos;Cetorhinidae;Cetorhinus maximus;Tubarão-peregrino;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;2;Não;"RS; SC"
Fauna;Mamíferos;Erethizontidae;Chaetomys subspinosus;Ouriço-preto;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Extracao Direta:Caça/Pesca; Queimadas";Sim;Sim;Não;2;Sim;"BA; ES; MG; SE"
Flora;Angiospermas;Fabaceae;Chamaecrista anamariae;-;Em Perigo (EN);EN;Caatinga;Agropecuária;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Fabaceae;Chamaecrista atroglandulosa;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"ES; SP"
Flora;Angiospermas;Fabaceae;Chamaecrista catolesensis;-;Vulnerável (VU);VU;"Caatinga; Cerrado";Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Fabaceae;Chamaecrista cipoana;-;Vulnerável (VU);VU;Cerrado;Turismo/Recreação;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Fabaceae;Chamaecrista fodinarum;-;Vulnerável (VU);VU;"Caatinga; Cerrado";Mineração, Plantação de Madereiras;Sim;Sim;Não;2;Sim;"BA; MG"
Flora;Angiospermas;Fabaceae;Chamaecrista lagotois;-;Criticamente em Perigo (CR);CR;Cerrado;Turismo/Recreação;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Fabaceae;Chamaecrista stillifera;-;Vulnerável (VU);VU;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos), Plantação de Madereiras;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Fabaceae;Chamaecrista tephrosiifolia;-;Vulnerável (VU);VU;Cerrado;Mineração, Distribuição Restrita, Plantação de Madereiras;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Fabaceae;Chamaecrista ulmea;-;Criticamente em Perigo (CR);CR;Cerrado;Distribuição Restrita, Plantação de Madereiras, Mineração;Sim;Sim;Não;2;Sim;MG
Fauna;Aves;Formicariidae;Chamaeza nobilis fulvipectus;Tovaca-estriada;Vulnerável (VU);VU;Amazônia;Extracao Florestal;Sim;Não;Não;3;Sim;"MT; PA; RO"
Flora;Angiospermas;Asteraceae;Chaptalia chapadensis;-;Criticamente em Perigo (CR);CR;Caatinga;Assentamentos Humanos: Cidades, Perda de Habitat/Degradação (Induzida por Humanos), Queimadas, Extração de Madeira;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Asteraceae;Chaptalia cordifolia;Lingua-de-vaca;Vulnerável (VU);VU;Mata Atlântica;Mineração, Agropecuária, Queimadas, Espécies Invasoras, ;Sim;Não;Não;2;Sim;"RJ; RS; SC; PR; MG"
Flora;Angiospermas;Asteraceae;Chaptalia hermogenis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;"SC; PR; RS; RJ; MG"
Fauna;Peixes Continentais;Crenuchidae;Characidium grajahuensis;Canivete;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas: Barrages Abastecimento/Drenagem; Poluição";Não;Sim;Não;1;Sim;RJ
Fauna;Peixes Continentais;Crenuchidae;Characidium heirmostigmata;Canivete ;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;PR
Fauna;Peixes Continentais;Crenuchidae;Characidium oiticicai;Canivete ;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Outras Atividades Econômicas:Industrias; Poluição";Sim;Sim;Não;2;Sim;SP
Fauna;Peixes Continentais;Crenuchidae;Characidium vestigipinne;Desconhecido;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Especies Exoticas";Não;Sim;Não;1;Sim;RS
Fauna;Aves;Charadriidae;Charadrius wilsonia;Batuíra-bicuda;Vulnerável (VU);VU;"Amazônia; Caatinga; Mata Atlântica";"Agropecuária; Especies Exoticas; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;3;Não;"AL; AP; BA; CE; MA; PA; PB; PE; PI; RN; SE"
Fauna;Invertebrados Terrestres;Charinidae;Charinus acaraje;Aranha-chicote;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Não;Não;Não;0;Sim;BA
Fauna;Invertebrados Terrestres;Charinidae;Charinus asturius;Aranha-chicote;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas:Turismo";Sim;Não;Não;1;Sim;SP
Fauna;Invertebrados Terrestres;Charinidae;Charinus eleonorae;Aranha-chicote;Criticamente em Perigo (CR);CR;"Caatinga; Cerrado";"Assentamento Humano:cidades; Outras Atividades Econômicas:Turismo; Poluição Assoreamento";Sim;Não;Não;3;Sim;MG
Fauna;Invertebrados Terrestres;Charinidae;Charinus potiguar;Aranha-chicote;Vulnerável (VU);VU;"Caatinga; Mata Atlântica";"Mineracao; Outras Atividades Econômicas:Energia";Não;Não;Não;0;Sim;RN
Fauna;Invertebrados Terrestres;Charinidae;Charinus troglobius;Aranha-chicote;Criticamente em Perigo (CR);CR;Cerrado;Mineracao;Não;Sim;Não;2;Sim;BA
Fauna;Invertebrados Terrestres;Pieridae;Charonias theano;Borboleta;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;2;Sim;"MG; PR; SC; SP"
Flora;Angiospermas;Poaceae;Chascolytrum brasiliense;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"SP; RJ; MG; PR; RS"
Flora;Angiospermas;Poaceae;Chascolytrum bulbosum;-;Criticamente em Perigo (CR);CR;Pampa;Vazio;Não;Sim;Não;2;Não;RS
Flora;Angiospermas;Poaceae;Chascolytrum itatiaiae;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"SP; RJ; MG; SC"
Flora;Angiospermas;Poaceae;Chascolytrum parodianum;-;Criticamente em Perigo (CR);CR;Pampa;Vazio;Não;Não;Não;1;Não;RS
Flora;Angiospermas;Poaceae;Chascolytrum scabrum;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Sim;Não;2;Informação não disponível;RS
Fauna;Peixes Continentais;Heptapteridae;Chasmocranus brachynema;Bagrinho;Em Perigo (EN);EN;"Caatinga; Cerrado";"Outras Atividades Econômicas:Energia; Poluição";Sim;Sim;Não;2;Sim;"MG; SP"
Flora;Pteridófitas;Pteridaceae;Cheilanthes incisa;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;RS
Flora;Pteridófitas;Pteridaceae;Cheilanthes juergensii;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Não;RS
Flora;Pteridófitas;Pteridaceae;Cheilanthes regnelliana;-;Em Perigo (EN);EN;Mata Atlântica;Transporte Terrestre/Aéreo, Agropecuária, Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;"MG; SP"
Fauna;Répteis;Cheloniidae;Chelonia mydas;Tartaruga-verde;Vulnerável (VU);VU;Marinho;"Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo; Poluição";Sim;Sim;Sim;5;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Anfíbios;Microhylidae;Chiasmocleis alagoanus;Desconhecido;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;2;Sim;"AL; PB; PE"
Flora;Angiospermas;Oleaceae;Chionanthus fluminensis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Queimadas, Espécies Invasoras, Assentamentos Humanos: Cidades, Distribuição Restrita, Telecomunicação, Linhas de Energia, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Informação não disponível;RJ
Flora;Angiospermas;Oleaceae;Chionanthus subsessilis;-;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Queimadas, Agropecuária;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Oleaceae;Chionanthus tenuis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Queimadas, Telecomunicação, Linhas de Energia, Barragens, Assentamentos Humanos: Cidades;Sim;Não;Não;3;Sim;RJ
Flora;Angiospermas;Asteraceae;Chionolaena lychnophorioides;-;Vulnerável (VU);VU;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos), Turismo/Recreação;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Euphorbiaceae;Chiropetalum foliosum;-;Em Perigo (EN);EN;"Mata Atlântica; Pampa";Plantação de Madereiras, Queimadas, Agropecuária;Sim;Sim;Não;2;Não;RS
Flora;Angiospermas;Euphorbiaceae;Chiropetalum gymnadenium;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"MG; SP"
Fauna;Mamíferos;Pitheciidae;Chiropotes satanas;Cuxiú-preto;Criticamente em Perigo (CR);CR;Amazônia;"Agropecuária; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Sim;"MA; PA; TO"
Fauna;Mamíferos;Pitheciidae;Chiropotes utahicki;Cuxiú;Vulnerável (VU);VU;Amazônia;"Agropecuária; Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;4;Sim;PA
Flora;Angiospermas;Orchidaceae;Chloraea membranacea;-;Em Perigo (EN);EN;"Mata Atlântica; Pampa";Perda de Habitat/Degradação (Induzida por Humanos), Agropecuária;Sim;Não;Não;2;Não;"PR; RS; SC"
Flora;Angiospermas;Rubiaceae;Chomelia modesta;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;1;Sim;SP
Fauna;Peixes Marinhos;Serranidae;Choranthias salmopunctatus;Canário-do-mar;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Sim;PE
Flora;Angiospermas;Asteraceae;Chresta souzae;-;Em Perigo (EN);EN;Cerrado;Queimadas;Sim;Não;Não;2;Sim;GO
Flora;Angiospermas;Asteraceae;Chromolaena angusticeps;-;Em Perigo (EN);EN;Mata Atlântica;Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos), Mineração, Agropecuária;Sim;Não;Não;2;Sim;PR
Flora;Angiospermas;Asteraceae;Chromolaena arrayana;-;Em Perigo (EN);EN;Cerrado;Mineração;Não;Não;Não;1;Não;"GO; SP"
Flora;Angiospermas;Asteraceae;Chromolaena costatipes;-;Em Perigo (EN);EN;Cerrado;Turismo/Recreação, Queimadas;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Chromolaena rhinanthacea;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Assentamentos Humanos: Cidades, Mineração;Sim;Não;Não;2;Informação não disponível;"SP; PR; SC"
Flora;Angiospermas;Asteraceae;Chronopappus bifrons;-;Vulnerável (VU);VU;Cerrado;Turismo/Recreação, Mineração, Extração de Não Madereiras, Queimadas;Sim;Não;Não;2;Informação não disponível;MG
Flora;Briófitas;Dithrichaceae;Chrysoblastella chilensis;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos), Queimadas, Mineração;Sim;Não;Não;2;Não;"ES; RJ"
Fauna;Mamíferos;Canidae;Chrysocyon brachyurus;Lobo-guará;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pampa; Pantanal";"Agropecuária; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Não;"BA; DF; ES; GO; MA; MG; MS; MT; PA; PI; PR; RJ; RO; RS; SC; SP; TO"
Flora;Angiospermas;Asteraceae;Chrysolaena nicolackii;-;Vulnerável (VU);VU;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Informação não disponível;PR
Flora;Angiospermas;Sapotaceae;Chrysophyllum imperiale;"guapeba; marmeleiro-do-mato";Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Baixa Densidade;Sim;Não;Não;2;Sim;"MG; RJ; SP"
Flora;Angiospermas;Sapotaceae;Chrysophyllum januariense;-;Vulnerável (VU);VU;Mata Atlântica;Turismo/Recreação;Sim;Não;Não;2;Sim;"BA; ES; RJ"
Flora;Angiospermas;Poaceae;Chusquea attenuata;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Sim;"BA; MG; RJ; SP"
