Familia	nomeCientifico	Autor	Categoria	Criterio
Asteraceae	Pamphalea araucariophila	Cabrera	VU	B2b(iii,iv)c(ii)
Asteraceae	Pamphalea blupeurifolia	Less.	VU	B1ab(i,ii,iii)
Asteraceae	Pamphalea cardaminifolia	Less.	EN	B1ab(i,ii,iii)+2ab(ii,iii)
Asteraceae	Pamphalea commersonii	Cass.	EN	B1b(iii)c(ii)
Asteraceae	Pamphalea maxima	Less.	CR	B2b(ii,iii)c(ii)
Asteraceae	Pamphalea missionum	Cabrera	CR	B2b(iii)c(ii)
Asteraceae	Pamphalea ramboi	Cabrera	EN	B2b(iii)c(ii)
Asteraceae	Pamphalea smithii	Cabrera	EN	B1ab(iii)+2ab(iii)
Asteraceae	Perezia multiflora ssp. sonchifolia	(Baker) Vuilleum.	EN	B2b(ii)c(ii)
Asteraceae	Perezia squarrosa ssp. cubataensis	(Less.) Vuilleum.	VU	B1ab(ii,iii)
Asteraceae	Perezia squarrosa ssp. squarrosa	(Vahl) Less.	CR	B2ab(iii); C1
Asteraceae	Porophyllum linifolium	(Ard.) DC.	EN	B2ab(iii)
Asteraceae	Senecio heteroschizus	Baker	EN	B1ab(iii)
Asteraceae	Senecio promatensis	Matzenb.	CR	B2b(ii)
Asteraceae	Smallanthus araucariophilus	Mondin	CR	B1ab(iii)
Asteraceae	Smallanthus riograndensis	Mondin	EN	B1ab(iii)
Asteraceae	Trichocline catharinensis var. discolor	Cabrera	VU	B1ab(iv)
Asteraceae	Trichocline cisplatina	E. Pasini & M.R. Ritter	VU	B1ab(iii,iv)
Asteraceae	Trichocline humilis	Less.	CR	B2ab(iii)
Asteraceae	Trichocline incana	(Lam.) Cass.	EN	B2b(ii,iii)c(ii)
Asteraceae	Trichocline macrocephala	Less.	EN	B2ab(iii)
Asteraceae	Trixis pallida	Less.	VU	D2
Asteraceae	Trixis thyrsoidea	Dusén ex Malme	CR	B1ab(iii)+2ab(iii)
Asteraceae	Vernonia constricta	Matzenb. & Mafioleti	CR	B1b(iii)c(iii)
Asteraceae	Viguiera megapotamica	Malme	VU	B1ab(iii)
Balanophoraceae	Lophophytum leandri	Eichler	EN	D
Begoniaceae	Begonia calvescens	(Brade ex L.B. Sm. & R.C. Sm.) E.L. Jacques & Mamede	EN	B1ab(i,ii,iii)
Begoniaceae	Begonia catharinensis	Brade	EN	B1ab(iii)
Begoniaceae	Begonia fischeri	Schrank	VU	B1ab(iii)
Begoniaceae	Begonia fruticosa	(Klotzsch) A. DC.	VU	B1ab(i,ii,iii)
Begoniaceae	Begonia itatinensis	Irmsch. ex Brade	CR	B2ab(iii)
Begoniaceae	Begonia perdusenii	Brade	CR	B1ab(i,ii,iii)
Bignoniaceae	Amphilophium dusenianum	(Kraenzl.) L.G. Lohmann	EN	B1ab(iii)+2ab(iii)
Bignoniaceae	Lundia nitidula	DC.	EN	B1ab(iii)+2ab(iii)
Boraginaceae	Moritzia ciliata	(Cham.) DC.	VU	A3c
Bromeliaceae	Aechmea winkleri	Reitz	EN	B1ab(i,ii,iii)
Bromeliaceae	Ananas fritzmuelleri	Camargo	CR	B2ab(iii)
Bromeliaceae	Dyckia agudensis	Irgang & Sobral	CR	B1ab(iii)+2ab(iii)
Bromeliaceae	Dyckia alba	S. Winkl.	CR	B1ab(iii)+2ab(iii)
Bromeliaceae	Dyckia brevifolia	Baker	EN	A2ac
