Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Sophronitis bradei (Pabst) Van den Berg & M.W.Chase	348180	Sophronitis bradei	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Ctenitis eriocaulis (Fée) Alston	299178	Ctenitis eriocaulis	Dryopteridaceae		Dryopteridaceae	VU	Vulnerável	2008
Microgramma lycopodioides (L.) Copel.	349041	Microgramma lycopodioides	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Lellingeria pumila Labiak	348935	Lellingeria pumila	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Synallaxis cinerea Wied, 1831	168830	Synallaxis cinerea	Furnariidae		Synallaxis cinerea	VU	Vulnerável	2010
Vellozia leptopetala Goethart & Henrard	350860	Vellozia leptopetala	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Richterago hatschbachii (Zardini) Roque	308048	Richterago hatschbachii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Arthrocereus melanurus (K.Schum.) Diers, P.J.Braun & Esteves	367429	Arthrocereus melanurus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Banisteriopsis parviglandula B.Gates	335714	Banisteriopsis parviglandula	Malpighiaceae		Malpighiaceae	CR	Criticamente em Perigo	2008
Sophronitis cinnabarina (Bateman ex Lindl.) C. Berg & M. W. Chase	348196	Sophronitis cinnabarina	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Sessea brasiliensis Toledo	281540	Sessea brasiliensis	Solanaceae		Solanaceae	VU	Vulnerável	2008
Tigrisoma fasciatum (Such, 1825)	270979	Tigrisoma fasciatum	Ardeidae		Tigrisoma fasciatum	CR	Criticamente em Perigo	2010
Pterodon emarginatus Vog.	319788	Pterodon emarginatus	Fabaceae		Fabaceae	VU	Vulnerável	2008
Trachypteris pinnata (Hook.) C.Chr.						CR	Criticamente em Perigo	2008
Baccharis tarchonanthoides DC.	325186	Baccharis tarchonanthoides	Asteraceae		Asteraceae	VU	Vulnerável	2008
Passiflora saccoi Cervi	274540	Passiflora saccoi	Passifloraceae		Passifloraceae	VU	Vulnerável	2008
Thelypteris poiteana (Bory) Proctor	350586	Thelypteris poiteana	Thelypteridaceae		Thelypteridaceae	CR	Criticamente em Perigo	2008
Alstroemeria viridiflora Warm.	369590	Alstroemeria viridiflora	Alstroemeriaceae		Alstroemeriaceae	CR	Criticamente em Perigo	2008
Spigelia sellowiana Cham. & Schltdl.	335262	Spigelia sellowiana	Loganiaceae		Loganiaceae	VU	Vulnerável	2008
Stachytarpheta sellowiana Schauer	369099	Stachytarpheta sellowiana	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Baccharis lychnophora Gardner	325023	Baccharis lychnophora	Asteraceae		Asteraceae	EN	Em Perigo	2008
Sinningia carangolensis Chautems	333097	Sinningia carangolensis	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Rhinodrilus fafner Michaelsen, 1918	234179	Rhinodrilus fafner	Glossoscolecidae		Rhinodrilus fafner	CR	Criticamente em Perigo	2010
Asterostigma lombardii E. G. Gonçalves	324412	Asterostigma lombardii	Araceae		Araceae	EN	Em Perigo	2008
Drymophila genei (Filippi, 1847)	168040	Drymophila genei	Thamnophilidae		Drymophila genei	VU	Vulnerável	2010
Sporophila melanogaster (Pelzeln, 1870)	138963	Sporophila melanogaster	Thraupidae		Sporophila melanogaster	EN	Em Perigo	2010
Juncus tenuis var. dichotomus (Elliott) Wood. Willd.	320382	Juncus tenuis var. dichotomus	Juncaceae		Juncaceae	VU	Vulnerável	2008
Pseudotrimezia tenuissima Ravenna	308848	Pseudotrimezia tenuissima	Iridaceae		Iridaceae	EN	Em Perigo	2008
Vriesea hoehniana L.B.Sm.						VU	Vulnerável	2008
Microgramma geminata (Schrad.) A.F. Tryon & R.M. Tryon	349034	Microgramma geminata	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Tibouchina bergiana Cogn.	322483	Tibouchina bergiana	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Phylloscartes beckeri Gonzaga & Pacheco, 1995	185947	Phylloscartes beckeri	Rhynchocyclidae		Phylloscartes beckeri	EN	Em Perigo	2010
Anemia hirta (L.) Sw.	298290	Anemia hirta	Anemiaceae		Anemiaceae	CR	Criticamente em Perigo	2008
Richterago angustifolia (Gardner) Roque	313209	Richterago angustifolia	Asteraceae		Asteraceae	VU	Vulnerável	2008
Vanhouttea pendula Chautems	333269	Vanhouttea pendula	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Baccharis vernonioides DC.	311971	Baccharis vernonioides	Asteraceae		Asteraceae	EN	Em Perigo	2008
Mandevilla lucida Woodson	323432	Mandevilla lucida	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Jacquemontia spiciflora (Choisy) Hallier f.	330683	Jacquemontia spiciflora	Convolvulaceae		Convolvulaceae	VU	Vulnerável	2008
Pteronura brasiliensis Gmelin, 1788	174417	Pteronura brasiliensis	Mustelidae		Pteronura brasiliensis	RE	Regionalmente Extinto	2010
Xyris rupicola	351612	Xyris rupicola	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Lychnophora brunioides Mart.	312942	Lychnophora brunioides	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Vellozia crinita Goethart & Henrard	368719	Vellozia crinita	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
