Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Hemipogon hatschbachii (Fontella & Marquete) Rapini	311560	Hemipogon hatschbachii	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Oncidium warmingii Rchb.f.	294258	Oncidium warmingii	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Paratrigona incerta Camargo & Moure, 1994	164749	Paratrigona incerta	Apidae		Paratrigona incerta	VU	Vulnerável	2010
Stemodia microphylla J. A. Schmidt	350157	Stemodia microphylla	Plantaginaceae		Plantaginaceae	VU	Vulnerável	2008
Hippeastrum reticulatum (L'Herit) Herb.	369796	Hippeastrum reticulatum	Amaryllidaceae		Amaryllidaceae	VU	Vulnerável	2008
Panicum machrisianum Swallen	348764	Panicum machrisiana	Poaceae		Poaceae	EN	Em Perigo	2008
Peixotoa glabra A.Juss.	321573	Peixotoa glabra	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Swartzia macrostachya var. macrostachya Benth.	319939	Swartzia macrostachya var. macrostachya	Fabaceae		Fabaceae	VU	Vulnerável	2008
Viguiera tenuifolia Gardner	313641	Viguiera tenuifolia	Asteraceae		Asteraceae	EN	Em Perigo	2008
Polytaenium cajenense (Desv.) Benedict	349919	Polytaenium cajenense	Pteridaceae		Pteridaceae	VU	Vulnerável	2008
Vriesea densiflora Mez	354423	Vriesea densiflora	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Tayassu pecari (Link, 1795)	225421	Tayassu pecari	Tayassuidae		Tayassu pecari	CR	Criticamente em Perigo	2010
Adiantum mynssenae Prado	349562	Adiantum mynsseniae	Pteridaceae		Pteridaceae	CR	Criticamente em Perigo	2008
Cipocereus laniflorus N.P.Taylor & Zappi	367576	Cipocereus laniflorus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Alstroemeria foliosa Mart. ex Schult. & Schult.f.	369546	Alstroemeria foliosa	Alstroemeriaceae		Alstroemeriaceae	VU	Vulnerável	2008
Anteremanthus hatschbachii H.Rob.	311725	Anteremanthus hatschbachii	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Mimosa adenophylla Taub.	291052	Mimosa adenophylla	Fabaceae		Fabaceae	EN	Em Perigo	2008
Maytenus rigida Mart.	286908	Maytenus rigida	Celastraceae		Celastraceae	VU	Vulnerável	2008
Eufriesea aeneiventris (Mocsáry, 1896)	268741	Eufriesea aeneiventris	Apidae		Eufriesea aeneiventris	EN	Em Perigo	2010
Chionolaena capitata (Baker) S.E.Freire	335014	Chionolaena capitata	Asteraceae		Asteraceae	VU	Vulnerável	2008
Megasoma anubis (Chevrolat, 1836)	114214	Megasoma (Megasoma) anubis	Melolonthidae		Megasoma (Megasoma) anubis	CR	Criticamente em Perigo	2010
Cipura paludosa Aublet	333535	Cipura paludosa	Iridaceae		Iridaceae	EN	Em Perigo	2008
Senecio caparoensis Cabrera						EN	Em Perigo	2008
Nothostele acianthiformis (Rchb.f. & Warm.) Garay	347908	Nothostele acianthiformis	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Ctenitis ampla (Willd.) Ching	390467	Ctenitis ampla	Dryopteridaceae		Dryopteridaceae	EN	Em Perigo	2008
Megalonema platanum (Gunther, 1880)	269146	Megalonema platanum	Pimelodidae		Megalonema platanum	CR	Criticamente em Perigo	2010
Chronopappus bifrons (DC.) DC.	373529	Chronopappus bifrons	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Trembleya hatschbachii Wurdack & E.Martins	309325	Trembleya hatschbachii	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Brasilicereus markgrafii Backeb. & Voll	367458	Brasilicereus markgrafii	Cactaceae		Cactaceae	EN	Em Perigo	2008
Paliavana werdermannii Mansf.	333053	Paliavana werdermannii	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry	387148	Tabebuia pedicellata	Bignoniaceae		Bignoniaceae	VU	Vulnerável	2008
Arthropogon filifolius Filg.	348531	Arthropogon filifolius	Poaceae		Poaceae	VU	Vulnerável	2008
Minaria polygaloides (Silveira) T.U.P.Konno & Rapini	339937	Minaria polygaloides	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Syngonanthus niger Silveira	317681	Syngonanthus niger	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Huperzia hemleri (Nessel) B. Olgaard	348256	Huperzia hemleri	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Polystachya hoehneana Krzl.	348073	Polystachya hoehneana	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Wunderlichia azulensis Maguire & G.M.Barroso	326056	Wunderlichia azulensis	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Camarea linearifolia A.St.-Hil.	321483	Camarea linearifolia	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Cryptangium comatum Boeck.	345061	Cryptangium comatum	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Hyptis tricephala A.St.-Hil. ex Benth.	334151	Hyptis tricephala	Lamiaceae		Lamiaceae	VU	Vulnerável	2008
Mikania cipoensis G. M. Barroso	312993	Mikania cipoensis	Asteraceae		Asteraceae	VU	Vulnerável	2008
Sarcoglottis homalogastra (Rchb.f. & Warm) Schltr.	348134	Sarcoglottis homalogastra	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Syngonanthus dealbatus Silveira	317529	Syngonanthus dealbatus	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Taoniscus nanus (Temminck, 1815)	265459	Taoniscus nanus	Tinamidae		Taoniscus nanus	EN	Em Perigo	2010
Vellozia lilacina L. B. Sm. & Ayensu	350864	Vellozia lilacina	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Blechnum organense Brade	298800	Blechnum organense	Blechnaceae		Blechnaceae	CR	Criticamente em Perigo	2008
Calyptranthes pteropoda O.Berg	340059	Calyptranthes pteropoda	Myrtaceae		Myrtaceae	VU	Vulnerável	2008
Ossaea warmingiana Cogn.	322395	Ossaea warmingiana	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Pilosocereus fulvilanatus rosae (P.J.Braun) D.C.Zappi	368180	Pilosocereus fulvilanatus subsp. rosae	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Heterocoma albida (DC. ex Pers.) DC.	378434	Heterocoma albida	Asteraceae		Asteraceae	VU	Vulnerável	2008
Pionopsitta pileata (Scopoli, 1769)	206401	Pionopsitta pileata	Psittacidae		Pionopsitta pileata	EN	Em Perigo	2010
Neomorphus geoffroyi (Temminck, 1820)	253146	Neomorphus geoffroyi	Cuculidae		Neomorphus geoffroyi	CR	Criticamente em Perigo	2010
Sophronitis longipes (Rchb.f.) Van den Berg & M.W.Chase	348229	Sophronitis longipes	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Alstroemeria stenopetala Schenk	310695	Alstroemeria stenopetala	Alstroemeriaceae		Alstroemeriaceae	CR	Criticamente em Perigo	2008
Vriesea stricta L.B.Sm.	314152	Vriesea stricta	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Fernseea itatiaiae Baker	327730	Fernseea itatiaiae	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Uebelmannia gummifera (Backeb. & Voll) Backeb.	368494	Uebelmannia gummifera	Cactaceae		Cactaceae	EN	Em Perigo	2008
Luxemburgia angustifolia Planch.	347106	Luxemburgia angustifolia	Ochnaceae		Ochnaceae	VU	Vulnerável	2008
Paepalanthus ater Silveira	316710	Paepalanthus ater	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Myrciaria sericea O.Berg	308086	Myrciaria sericea	Myrtaceae		Myrtaceae	EN	Em Perigo	2008
Minasia scapigera H. Rob.	308008	Minasia scapigera	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Lygromma ybyguara Rheims & Brescovit	272965	Lygromma ybyguara	Prodidomidae		Lygromma ybyguara	VU	Vulnerável	2010
Lippia felippei Moldenke	351057	Lippia felippei	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Ipomoea argentea Meisn.	330480	Ipomoea argentea	Convolvulaceae		Convolvulaceae	VU	Vulnerável	2008
Lippia primulina S. Moore	351130	Lippia primulina	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Myrceugenia brevipedicellata (Burret) D.Legrand & Kausel	341046	Myrceugenia brevipedicellata	Myrtaceae		Myrtaceae	VU	Vulnerável	2008
Stachytarpheta commutata Schauer	369016	Stachytarpheta commutata	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Anemia retroflexa Brade	298376	Anemia retroflexa	Anemiaceae		Anemiaceae	EN	Em Perigo	2008
Minaria bifurcata (Rapini) T.U.P.Konno & Rapini	339908	Minaria bifurcata	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Ilex prostrata Groppo	311074	Ilex prostrata	Aquifoliaceae		Aquifoliaceae	EN	Em Perigo	2008
Minaria grazielae (Fontella & Marquete) T.U.P.Konno & Rapini	339929	Minaria grazielae	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Lionycteris spurrelli Thomas, 1913	206071	Lionycteris spurrelli	Phyllostomidae		Lionycteris spurrelli	EN	Em Perigo	2010
Marsupella microphylla R.M. Schust.	363727	Marsupella microphylla	Gymnomitriaceae		Gymnomitriaceae	EN	Em Perigo	2008
Heteropterys arenaria Markgr.	292185	Heteropterys arenaria	Malpighiaceae		Malpighiaceae	CR	Criticamente em Perigo	2008
Baccharis multisulcata Baker	284893	Baccharis multisulcata	Asteraceae		Asteraceae	VU	Vulnerável	2008
Sophronitis fournieri (Cogn.) V.P.Castro & Chiron	364789	Sophronitis fournieri	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Schefflera fruticosa Fiaschi & Pirani	311260	Schefflera fruticosa	Araliaceae		Araliaceae	VU	Vulnerável	2008
Ara ararauna (Linnaeus, 1758)	206571	Ara ararauna	Psittacidae		Ara ararauna	VU	Vulnerável	2010
Orthophytum humile L.B.Sm.	308250	Orthophytum humile	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Simpsonichthys similis Costa & Hellner, 1999						CR	Criticamente em Perigo	2010
Richtaerago polymorpha (Less.) Roque	308055	Richterago polymorpha	Asteraceae		Asteraceae	EN	Em Perigo	2008
Mikania alvimii R.M.King & H.Rob.	285467	Mikania alvimii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Coryphaspiza melanotis (Temminck, 1822)	264617	Coryphaspiza melanotis	Thraupidae		Coryphaspiza melanotis	EN	Em Perigo	2010
Pellaea cymbiformis Prado	349882	Pellaea cymbiformis	Pteridaceae		Pteridaceae	CR	Criticamente em Perigo	2008
Vernonia sessilifolia Less.						VU	Vulnerável	2008
Vellozia subalata L. B. Sm. & Ayensu	350941	Vellozia subalata	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Syagrus mendanhensis Glassman	334075	Syagrus mendanhensis	Arecaceae		Arecaceae	EN	Em Perigo	2008
Touit surdus (Kuhl, 1820)	206436	Touit surdus	Psittacidae		Touit surdus	CR	Criticamente em Perigo	2010
Callicore hydarnis (Godart, 1824)	168744	Callicore hydarnis	Nymphalidae		Callicore hydarnis	EN	Em Perigo	2010
Xyris tortilis Wand.	351638	Xyris tortilis	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Acrobatornis fonsecai Pacheco, Whitney e Gonzaga, 1995	263123	Acrobatornis fonsecai	Furnariidae		Acrobatornis fonsecai	CR	Criticamente em Perigo	2010
Delturus parahybae Eigenmann & Eigenmann, 1889	273008	Delturus parahybae	Loricariidae		Delturus parahybae	CR	Criticamente em Perigo	2010
Euphonia chalybea (Mikan,1825)	262403	Euphonia chalybea	Fringillidae		Euphonia chalybea	EN	Em Perigo	2010
Alstroemeria penduliflora M.C.Assis	310685	Alstroemeria penduliflora	Alstroemeriaceae		Alstroemeriaceae	CR	Criticamente em Perigo	2008
Amazona farinosa (Boddaert, 1783)	273775	Amazona farinosa	Psittacidae		Amazona farinosa	CR	Criticamente em Perigo	2010
Ditassa longisepala (Hua) Fontella & E. A. Schwarz	323175	Ditassa longisepala	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Styrax aurea Mart.						VU	Vulnerável	2008
Adelothecium bogotense (Hampe) Mitt.	359565	Adelothecium bogotense	Adelotheciaceae		Adelotheciaceae	EN	Em Perigo	2008
Cebus robustus (Kuhl, 1820)						EN	Em Perigo	2010
Paepalanthus glaziovii Ruhland	316964	Paepalanthus glaziovii	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Nothochilus coccineus Radlk.	346449	Nothochilus coccineus	Orobanchaceae		Orobanchaceae	CR	Criticamente em Perigo	2008
Stenandrium hatschbachii Wassh.	307609	Stenandrium hatschbachii	Acanthaceae		Acanthaceae	VU	Vulnerável	2008
Burlemarxia pungens N. L. Menezes & Semir	350683	Burlemarxia pungens	Velloziaceae		Velloziaceae	EN	Em Perigo	2008
Lychnophora pohlii Sch. Bip.	307986	Lychnophora pohlii	Asteraceae		Asteraceae	EN	Em Perigo	2008
Brycon orbignyanus (Valenciennes, 1850)						CR	Criticamente em Perigo	2010
Richterago conduplicata Roque	308042	Richterago conduplicata	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Cattleya warneri T.Moore	343225	Cattleya warneri	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Pseudotrimezia brevistaminea Chukr						VU	Vulnerável	2008
Tibouchina ademari J.P.F.Guim., R.Romero & Leoni	372335	Tibouchina ademarii	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Xyris nigricans L.A.Nilsson	351568	Xyris nigricans	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Syngonanthus helmintorrhizus (Mart.) Ruhland	317633	Syngonanthus helminthorrhizus	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Actinocephalus falcifolius (Koern.) Sano	331920	Actinocephalus falcifolius	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Danaea leprieurii Kunze	348413	Danaea leprieurii	Marattiaceae		Marattiaceae	CR	Criticamente em Perigo	2008
Bulbostylis tenuifolia (Rudge) J.F. Macbr.	288027	Bulbostylis tenuifolia	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Xyris cipoensis L.B.Sm. & Downs	351503	Xyris cipoensis	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Heliconia aemygdiana Burle-Marx	333300	Heliconia aemygdiana	Heliconiaceae		Heliconiaceae	CR	Criticamente em Perigo	2008
Siparuna espinhacensis Jangoux	297004	Siparuna espinhacensis	Siparunaceae		Siparunaceae	VU	Vulnerável	2008
Stigmatopteris tyucana (Raddi) C. Chr.	347551	Stigmatopteris tyucana	Dryopteridaceae		Dryopteridaceae	VU	Vulnerável	2008
Amazona rhodocorytha (Salvadori, 1890)	238121	Amazona rhodocorytha	Psittacidae		Amazona rhodocorytha	EN	Em Perigo	2010
Microlicia pseudoscoparia Cogn.	322340	Microlicia pseudoscoparia	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Mimosa minarum Barneby	308982	Mimosa minarum	Fabaceae		Fabaceae	VU	Vulnerável	2008
Mergus octosetaceus Vieillot, 1817	213998	Mergus octosetaceus	Anatidae		Mergus octosetaceus	CR	Criticamente em Perigo	2010
Cereus mirabella N.P.Taylor	367542	Cereus mirabella	Cactaceae		Cactaceae	VU	Vulnerável	2008
Machaerium floridum Benth.	291020	Machaerium floridum	Fabaceae		Fabaceae	VU	Vulnerável	2008
Paepalanthus canastrensis Silveira	316771	Paepalanthus canastrensis	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Senaea coerulea Taub.	332754	Senaea coerulea	Gentianaceae		Gentianaceae	CR	Criticamente em Perigo	2008
Cryptangium humile Boeck.	345079	Cryptangium humile	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Ditassa refractifolia (K.Schum.) T.U.P.Konno & Rapini	278327	Ditassa refractifolia	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Aechmea alba Mez	326673	Aechmea alba	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Phylloscartes roquettei Snethlage, 1928	152783	Phylloscartes roquettei	Rhynchocyclidae		Phylloscartes roquettei	EN	Em Perigo	2010
Sisyrinchium luzula Klotzsch ex Klatt	333609	Sisyrinchium luzula	Iridaceae		Iridaceae	VU	Vulnerável	2008
Arthrocereus melanurus magnus N.P.Taylor & D.C.Zappi	367432	Arthrocereus melanurus subsp. magnus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Anemia espiritosantensis Brade	298258	Anemia espiritosantensis	Anemiaceae		Anemiaceae	CR	Criticamente em Perigo	2008
Actinocephalus cabralensis (Silveira) Sano	316353	Actinocephalus cabralensis	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Crypturellus variegatus (Gmelin, 1789)	265228	Crypturellus variegatus	Tinamidae		Crypturellus variegatus	EN	Em Perigo	2010
Mimosa leprosa (Benth.) J. F. Macbr.	322967	Mimosa leprosa	Fabaceae		Fabaceae	EN	Em Perigo	2008
Paepalanthus digitiformis Hensold	316873	Paepalanthus digitiformis	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Pelexia parva (Cogn.) Schltr.	347994	Pelexia parva	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Pseudotrimezia pumila Ravenna	359486	Pseudotrimezia pumila	Iridaceae		Iridaceae	CR	Criticamente em Perigo	2008
Buddleja speciosissima Taub.	281013	Buddleja speciosissima	Scrophulariaceae		Scrophulariaceae	EN	Em Perigo	2008
Merremia aturensis (Kunth) Hallier f.	315751	Merremia aturensis	Convolvulaceae		Convolvulaceae	EN	Em Perigo	2008
Cestrum viminale Sendtn.	341852	Cestrum viminale	Solanaceae		Solanaceae	CR	Criticamente em Perigo	2008
Crypturellus noctivagus noctivagus (Wied,1820)	265479	Crypturellus noctivagus noctivagus	Tinamidae		Crypturellus noctivagus noctivagus	EN	Em Perigo	2010
Lindsaea virescens var. virescens Sw.	348086	Lindsaea virescens var. virescens	Lindsaeaceae		Lindsaeaceae	EN	Em Perigo	2008
Microlicia inquinans Naudin	322290	Microlicia inquinans	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Alcantarea odorata (Leme) J. R. Grant	327151	Alcantarea odorata	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Minaria inconspicua (Rapini) Rapini	339946	Minaria inconspicua	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Thripophaga macroura (Wied, 1821)	137449	Thripophaga macroura	Furnariidae		Thripophaga macroura	EN	Em Perigo	2010
Schefflera lucumoides (Decne. & Planch. ex Marchal) Frodin & Fiaschi	353064	Schefflera lucumoides	Araliaceae		Araliaceae	VU	Vulnerável	2008
Vriesea arachnoidea A. Costa	328740	Vriesea arachnoidea	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Cresta picnocephalla DC.	307956	Chresta pycnocephala	Asteraceae		Asteraceae	VU	Vulnerável	2008
Thryallis latifolia Mart.	321650	Thryallis latifolia	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Vriesea minarum L.B.Sm.	328988	Vriesea minarum	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Strategus centaurus Kolbe 1906	210944	Strategus centaurus	Melolonthidae		Strategus centaurus	EN	Em Perigo	2010
Dyckia sordida Baker	314019	Dyckia sordida	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Cichlopsis leucogenys Cabanis, 1851	211812	Cichlopsis leucogenys	Turdidae		Cichlopsis leucogenys	CR	Criticamente em Perigo	2010
Staelia hatschbachii J.H.Kirkbr.	310062	Staelia hatschbachii	Rubiaceae		Rubiaceae	VU	Vulnerável	2008
Blepharolejeunea incongrua (Lindenb. & Gott.) van Slag.	364087	Blepharolejeunea incongrua	Lejeuneaceae		Lejeuneaceae	VU	Vulnerável	2008
Marcetia hatschbachii A.B.Martins	322125	Marcetia hatschbachii	Melastomataceae		Melastomataceae	EN	Em Perigo	2008
Symphyopappus uncinatus H.Rob.	308087	Symphyopappus uncinatus	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Aspilia jolyana G. M. Barroso	311811	Aspilia jolyana	Asteraceae		Asteraceae	VU	Vulnerável	2008
Scleria alpina Core	331271	Scleria alpina	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Symplocos microstyla Aranha, P.W.Fritsch et Almeda	327519	Symplocos microstyla	Symplocaceae		Symplocaceae	VU	Vulnerável	2008
Trogon collaris Vieillot, 1817	175232	Trogon collaris	Trogonidae		Trogon collaris	CR	Criticamente em Perigo	2010
Arthrocereus melanurus melanurus (K.Schum.) Diers, P.J.Braun & Esteves	367435	Arthrocereus melanurus subsp. melanurus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Nidularium purpureum Beer	327950	Nidularium purpureum	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Fimoscolex sporadochaetus Michaelsen, 1918	171065	Fimoscolex sporodochaetus	Glossoscolecidae		Fimoscolex sporodochaetus	CR	Criticamente em Perigo	2010
Cyrtopodium caiapoense L.C.Menezes	347499	Cyrtopodium caiapoense	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Huperzia badiniana B. Ollg. & P. G. Windisch	348183	Huperzia badiniana	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Ocotea porosa (Nees) Barroso	334757	Ocotea porosa	Lauraceae		Lauraceae	VU	Vulnerável	2008
Puma concolor (Linnaeus, 1771)	131593	Puma concolor	Felidae		Puma concolor	VU	Vulnerável	2010
Diplusodon kielmeyeroides A.St.-Hil.	321204	Diplusodon kielmeyeroides	Lythraceae		Lythraceae	VU	Vulnerável	2008
Aechmea vanhoutteana (Van Houtt) Mez	327066	Aechmea vanhoutteana	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Hippeastrum morelianum Lemaire	351804	Hippeastrum morelianum	Amaryllidaceae		Amaryllidaceae	EN	Em Perigo	2008
Vanhouttea hilariana Chautems	333259	Vanhouttea hilariana	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Leiothrix gomesii Silveira	332033	Leiothrix gomesii	Eriocaulaceae		Eriocaulaceae	EX	EX	2008
Paesia glandulosa (Sw.) Kuhn	299107	Paesia glandulosa	Dennstaedtiaceae		Dennstaedtiaceae	EN	Em Perigo	2008
Azara uruguayensis (Spegazzini) Sleumer	280391	Azara uruguayensis	Salicaceae		Salicaceae	VU	Vulnerável	2008
Esterhazya caesarea (Cham. & Schltdl.) V.C.Souza	329386	Esterhazya caesarea	Orobanchaceae		Orobanchaceae	EN	Em Perigo	2008
Paepalanthus longicaulis Silveira	317041	Paepalanthus longicaulis	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Trattinnickia ferruginea Kuhlm.	329310	Trattinnickia ferruginea	Burseraceae		Burseraceae	VU	Vulnerável	2008
Esenbeckia irwiniana Kaastra	365532	Esenbeckia irwiniana	Rutaceae		Rutaceae	VU	Vulnerável	2008
Pseudolaelia cipoensis Pabst	348092	Pseudolaelia cipoensis	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Huperzia treitubensis (Silveira) B.Øllg.	348397	Huperzia treitubensis	Lycopodiaceae		Lycopodiaceae	EN	Em Perigo	2008
Thelypteris stierii (Rosenst.) C.F. Reed	350640	Thelypteris stierii	Thelypteridaceae		Thelypteridaceae	EN	Em Perigo	2008
Selaginella microphylla (Kunth) Spring	350246	Selaginella microphylla	Selaginellaceae		Selaginellaceae	CR	Criticamente em Perigo	2008
Acritopappus subtomentosa R. M. King & H. Rob.	311687	Acritopappus subtomentosus	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Paepalanthus caparoensis Ruhland	332123	Paepalanthus caparoensis	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Polybotrya sorbifolia Kuhn	347505	Polybotrya sorbifolia	Dryopteridaceae		Dryopteridaceae	CR	Criticamente em Perigo	2008
Rhynchostegium microthamnioides Müll. Hal.						EN	Em Perigo	2008
Lecythis schwackei R.Knuth	334994	Lecythis schwackei	Lecythidaceae		Lecythidaceae	VU	Vulnerável	2008
Ditassa itambensis Rapini	311486	Ditassa itambensis	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Elephantopus biflorus (Less.) Sch. Bip.	312319	Elephantopus biflorus	Asteraceae		Asteraceae	VU	Vulnerável	2008
Simpsonichthys auratus Costa & Nielsen, 2000						CR	Criticamente em Perigo	2010
Isoetes gigantea U.Weber	370923	Isoetes gigantea	Isoetaceae		Isoetaceae	CR	Criticamente em Perigo	2008
Nidularium azureum (L.B.Sm.) Leme	328193	Nidularium azureum	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Neoregelia chlorosticta (Baker) L. B. Sm.	327914	Neoregelia chlorosticta	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Bifrenaria charlesworthii Rolfe	342785	Bifrenaria charlesworthii	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Mimosa barretoi Hoehne	322732	Mimosa barretoi	Fabaceae		Fabaceae	CR	Criticamente em Perigo	2008
Diplusodon aggregatifolius T.B.Cavalc.	309026	Diplusodon aggregatifolius	Lythraceae		Lythraceae	VU	Vulnerável	2008
Lippia rhodocnemis Mart. & Schauer	351138	Lippia rhodocnemis	Verbenaceae		Verbenaceae	EN	Em Perigo	2008
Merulaxis stresemanni Sick, 1960	181906	Merulaxis stresemanni	Rhinocryptidae		Merulaxis stresemanni	CR	Criticamente em Perigo	2010
Alstroemeria plantaginea Mart. ex Schult. & Schult.f.	369567	Alstroemeria plantaginea	Alstroemeriaceae		Alstroemeriaceae	EN	Em Perigo	2008
& Brederoo						EN	Em Perigo	2008
Simpsonichthys magnificus (Costa & Brasil, 1991)						CR	Criticamente em Perigo	2010
Chamaecrista deltoidea Hervêncio & L.P.Queiroz	314575	Chamaecrista deltoidea	Fabaceae		Fabaceae	EN	Em Perigo	2008
Ipomoea macedoi Hoehne	315645	Ipomoea macedoi	Convolvulaceae		Convolvulaceae	EN	Em Perigo	2008
Paliavana tenuiflora Mansf.	333049	Paliavana tenuiflora	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Lagenocarpus bracteosus C.B.Clarke	356002	Lagenocarpus bracteosus	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Besleria meridionalis C.V. Morton	332860	Besleria meridionalis	Gesneriaceae		Gesneriaceae	CR	Criticamente em Perigo	2008
Nematanthus wiehleri Chautems & M. Peixoto	333031	Nematanthus wiehleri	Gesneriaceae		Gesneriaceae	CR	Criticamente em Perigo	2008
Eupatorium sagittiferum B.L. Rob.						EN	Em Perigo	2008
Callicebus melanochir Wied-Neuwied, 1820	113811	Callicebus melanochir	Pitheciidae		Callicebus melanochir	EN	Em Perigo	2010
Uebelmannia pectinifera Buining	368508	Uebelmannia pectinifera	Cactaceae		Cactaceae	VU	Vulnerável	2008
Scinax caldarum (B. Lutz, 1968)	186894	Scinax caldarum	Hylidae		Scinax caldarum	VU	Vulnerável	2010
Huperzia aqualupiana (Spring) Rothm.	279172	Huperzia aqualupiana	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Philodryas oligolepis Gomes, 1921						CR	Criticamente em Perigo	2010
Jacaranda racemosa Cham.	386704	Jacaranda racemosa	Bignoniaceae		Bignoniaceae	EN	Em Perigo	2008
Inga tenuis (Vell.) Mart.	290984	Inga tenuis	Fabaceae		Fabaceae	VU	Vulnerável	2008
