"Supplied Name","guid","scientificName","family","kingdom","status","sourceStatus","year","family"
"Balaenoptera acutorostrata(Lacépède, 1804)","234706","Balaenoptera acutorostrata","Balaenopteridae",,"DD","Dados Insuficientes","2010","Balaenopteridae"
"Euryoryzomys russatus(Wagner, 1848)","220450","Euryoryzomys russatus","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Galictis cuja(Molina, 1782)","188944","Galictis cuja","Mustelidae",,"LC","Pouco Preocupante","2010","Mustelidae"
"Micronycteris megalotis(Gray, 1842)","206123","Micronycteris megalotis","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Diaemus youngi(Jentink, 1893)","142731","Diaemus youngii","Phyllostomidae",,"DD","Dados Insuficientes","2010","Phyllostomidae"
"Brachyteles arachnoides(É. Geoffroy, 1806)","200802","Brachyteles arachnoides","Atelidae",,"CR","Criticamente em Perigo","2010","Atelidae"
"Physeter macrocephalus(Linnaeus, 1758)","268113","Physeter macrocephalus","Physeteridae",,"VU","Vulnerável","2010","Physeteridae"
"Eumops hansae Sanborn, 1932",,"Eumops hansae",,,"VU","Vulnerável","2010",
"Nectomys squamipes(Brants, 1827)","175452","Nectomys squamipes","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Tonatia bidens(Spix, 1823)","267883","Tonatia bidens","Phyllostomidae",,"DD","Dados Insuficientes","2010","Phyllostomidae"
"Peropteryx macrotis(Wagner, 1843)","120883","Peropteryx macrotis","Emballonuridae",,"VU","Vulnerável","2010","Emballonuridae"
"Noctilio albiventris Desmarest, 1818",,"Noctilio albiventris",,,"VU","Vulnerável","2010",
"Guerlinguetus ingrami (Thomas, 1901)",,"Guerlinguetus ingrami",,,"LC","Pouco Preocupante","2010",
"Thaptomys nigrita(Lichtenstein, 1829)","157388","Thaptomys nigrita","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Oligoryzomys flavescens(Waterhouse, 1837)","157369","Oligoryzomys flavescens","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Diphylla ecaudata Spix, 1823",,"Diphylla ecaudata",,,"NT","Quase Ameaçada","2010",
"Steno bredanensis(Cuvier 1828)","205949","Steno bredanensis","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Lutreolina crassicaudata(Desmarest, 1804)","147502","Lutreolina crassicaudata","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Oxymycterus judexThomas, 1909",,,,,"DD","Dados Insuficientes","2010",
"Dasypus novemcinctus Linnaeus, 1758",,"Dasypus novemcinctus",,,"LC","Pouco Preocupante","2010",
"Philander frenatus(Olfers, 1818)","241541","Philander frenatus","Didelphidae",,"LC","Pouco Preocupante","2010","Didelphidae"
"Eumops perotis(Schinz, 1821)","121447","Eumops perotis","Molossidae",,"DD","Dados Insuficientes","2010","Molossidae"
"Eptesicus diminutus Osgood, 1915",,"Eptesicus diminutus",,,"LC","Pouco Preocupante","2010",
