"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Dipteranthus pellucidus Cogn.","314660","Dipteranthus pellucidus","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Galeandra beyrichii Rchb. f.","343976","Galeandra beyrichii","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Cissus pulcherrima Vell.","283210","Cissus pulcherrima","Vitaceae",,"Vitaceae","V","Vulnerável"
"Polystachya rupicola Brade","364461","Polystachya rupicola","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Zygopetalum pabstii Toscano","346289","Zygopetalum pabstii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Cattleya harrisoniana Bateman ex Lindl.","343194","Cattleya harrisoniana","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Mouriri megasperma Morley","338697","Mouriri megasperma","Melastomataceae",,"Melastomataceae","CR","CriticamEm Perigote em Perigo"
"Staurogyne carvalhoi Profice","278179","Staurogyne carvalhoi","Acanthaceae",,"Acanthaceae","EN","Em Perigo"
"Aspilia clausseniana Baker","311751","Aspilia clausseniana","Asteraceae",,"Asteraceae","V","Vulnerável"
"Begonia santos-limae Brade","326551","Begonia santoslimae","Begoniaceae",,"Begoniaceae","V","Vulnerável"
"Begonia radicans Vell.","326516","Begonia radicans","Begoniaceae",,"Begoniaceae","EN","Em Perigo"
"Saundersia mirabilis Rchb. f.","348153","Saundersia mirabilis","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Schefflera calva (Cham.) Frodin & Fiaschi.","324824","Schefflera calva","Araliaceae",,"Araliaceae","V","Vulnerável"
"Campomanesia espiritosantensis Landrum  ","340103","Campomanesia espiritosantensis","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Polypodium trindadense Brade","371612","Polypodium trindadense","Polypodiaceae",,"Polypodiaceae","V","Vulnerável"
"Cryptanthus odoratissimus Leme","327520","Cryptanthus odoratissimus","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Cattleya schofieldiana Rchb.f.","343216","Cattleya schofieldiana","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Heliconia episcopalis Vell.","333305","Heliconia episcopalis","Heliconiaceae",,"Heliconiaceae","V","Vulnerável"
"Vellozia albiflora Pohl","282766","Vellozia albiflora","Velloziaceae",,"Velloziaceae","V","Vulnerável"
"Galeottia ciliata (Morel) Dressler & Christenson","343995","Galeottia ciliata","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Radula schaefer-verwimpii Yamada","365299","Radula schaefer-verwimpii","Radulaceae",,"Radulaceae","V","Vulnerável"
"Tabebuia cristata A. H.Gentry","386991","Tabebuia cristata","Bignoniaceae",,"Bignoniaceae","EN","Em Perigo"
"Pavonia multiflora A. St.-Hil.","336757","Pavonia multiflora","Malvaceae",,"Malvaceae","V","Vulnerável"
"Myrcia gilsoniana G. M. Barroso & A. L. Peixoto","341235","Myrcia gilsoniana","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Miltonia clowesii Lindl.","344724","Miltonia clowesii","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Schlumbergera kautskyi (Horobin & McMillan) N. P. Taylor","368416","Schlumbergera kautskyi","Cactaceae",,"Cactaceae","EN","Em Perigo"
"Dungsia harpophylla (Rchb. f.) Chiron & V. P. Castro","343632","Dungsia harpophylla","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Dichorisandra neglecta Brade","330208","Dichorisandra neglecta","Commelinaceae",,"Commelinaceae","CR","CriticamEm Perigote em Perigo"
"Houlletia brockelhurstiana Lindl.",,,,,,"EN","Em Perigo"
"Aechmea fosteriana","326841","Aechmea fosteriana","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Fleischmannia remotifolia (DC.) R. M. King & H. Rob.  ","379240","Fleischmannia remotifolia","Asteraceae",,"Asteraceae","V","Vulnerável"
"Warrea warreana (Lodd. ex Lindl.) C. Schweinf.","346247","Warrea warreana","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Begonia thelmae L. B. Sm. & Wassh.",,,,,,"CR","CriticamEm Perigote em Perigo"
"Begonia fruticosa A. DC.","326277","Begonia fruticosa","Begoniaceae",,"Begoniaceae","V","Vulnerável"
"Bulbophyllum kautskyi Toscano","342948","Bulbophyllum kautskyi","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Nidularium ferrugineum Leme","328222","Nidularium ferrugineum","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Portea fosteriana L. B. Sm.","328464","Portea fosteriana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Vriesea seideliana W. Weber","329164","Vriesea seideliana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Oxalis kuhlmannii Lourteig","274239","Oxalis kuhlmannii","Oxalidaceae",,"Oxalidaceae","EN","Em Perigo"
"Asplenium campos-portoi Brade","298477","Asplenium campos-portoi","Aspleniaceae",,"Aspleniaceae","V","Vulnerável"
"Lellingeria pumila Labiak","348935","Lellingeria pumila","Polypodiaceae",,"Polypodiaceae","EN","Em Perigo"
"Cololobus longiangustatus (G. M. Barroso) H. Rob.","373248","Cololobus longiangustatus","Asteraceae",,"Asteraceae","V","Vulnerável"
"Nematanthus hirtellus (Schott) Wiehler","332972","Nematanthus hirtellus","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Cryptanthus scaposus E. Pereira","327557","Cryptanthus scaposus","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Cambessedesia eichleri Cogn.","309249","Cambessedesia eichleri","Melastomataceae",,"Melastomataceae","EN","Em Perigo"
"Bifrenaria tetragona (Lindl.) Schltr.","342810","Bifrenaria tetragona","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Vriesea drepanocarpa (Baker) Mez","328838","Vriesea drepanocarpa","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Neoregelia menescalii Leme","328046","Neoregelia menescalii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Epidendrum imatophyllum Lindl.","343931","Epidendrum imatophyllum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Hadrolaelia wittigiana (Barb. Rodr.) Chiron & V. P. Castro","344387","Hadrolaelia wittigiana","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Rhynchospora filiformis Vahl","288384","Rhynchospora filiformis","Cyperaceae",,"Cyperaceae","EN","Em Perigo"
