"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Clistax bahiensis Profice & Leitman","345947","Clistax bahiensis","Acanthaceae",,"Clistax bahiensis","EN","Em Perigo"
"Trinomys yonenagae (Rocha, 1995)","183641","Trinomys yonenagae","Echimyidae","Animalia","Rato-do-espinho","EN","Em Perigo"
"Puma concolor (Linnaeus. 1771)","131593","Puma concolor","Felidae","Animalia","Onça-parda","VU","Vulnerável"
"Diplopterys carvalhoi W.R.Anderson & C.C.Davis","335855","Diplopterys carvalhoi","Malpighiaceae",,"Diplopterys carvalhoi","EN","Em Perigo"
"Priodontes maximus (Kerr, 1792)","142297","Priodontes maximus","Dasypodidae","Animalia","Tatu-canastra","EN","Em Perigo"
"Marcetia candolleana A.K.A.Santos A.B.Martins","342320","Marcetia candolleana","Melastomataceae",,"Marcetia candolleana","VU","Vulnerável"
"Elacatinus figaro Sazima, Moura e Rosa, 1996","171534","Elacatinus figaro","Gobiidae",,"Neon","VU","Vulnerável"
"Mikania morii R.M.King & H.Rob.","325615","Mikania morii","Asteraceae",,"Mikania morii","EN","Em Perigo"
"Patagioenas plumbea (Vieillot, 1818)","246717","Patagioenas plumbea","Columbidae",,"Pomba-amargosa","VU","Vulnerável"
"Lobatus costatus (Gmelin, 1791)",,,,"Animalia","Búzio","VU","Vulnerável"
"Genlisea uncinata P. Taylor & Fromm","291687","Genlisea uncinata","Lentibulariaceae",,"Genlisea uncinata","EN","Em Perigo"
"Ucides cordatus (Linnaeus, 1763)","214707","Ucides cordatus","Ocypodidae","Animalia","Caranguejo-uçá","CR","Criticamente em Perigo"
"Brassavola reginae Pabst","293730","Brassavola reginae","Orchidaceae",,"Brassavola reginae","VU","Vulnerável"
"Evolvulus altissimus Sim.-Bianch. & C.V.Silva","370924","Evolvulus altissimus","Convolvulaceae",,"Evolvulus altissimus","VU","Vulnerável"
"Euphorbia tamanduana Boiss.","358788","Euphorbia tamanduana","Euphorbiaceae",,"Euphorbia tamanduana","EN","Em Perigo"
"Barbacenia regis L.B.Sm.Barbacenia regis L.B.Sm.","297509","Barbacenia regis","Velloziaceae",,"Barbacenia regis","EN","Em Perigo"
"Facheiroa ulei (Gürke) Werderm.","367742","Facheiroa ulei","Cactaceae",,"Facheiroa ulei","EN","Em Perigo"
"Jacquemontia robertsoniana Buril & Sim.-Bianch.","294071","Jacquemontia robertsoniana","Convolvulaceae",,"Jacquemontia robertsoniana","VU","Vulnerável"
"Chamaecrista speciosa Conc. et al.","314983","Chamaecrista speciosa","Fabaceae",,"Chamaecrista speciosa","VU","Vulnerável"
"Helicteres pintonis Cristóbal","336494","Helicteres pintonis","Malvaceae",,"Helicteres pintonis","CR","Criticamente em Perigo"
"Agrianthus microlicioides Mattf.","284748","Agrianthus microlicioides","Asteraceae",,"Agrianthus microlicioides","EN","Em Perigo"
"Catolesia mentiens D.J.N.Hind","285009","Catolesia mentiens","Asteraceae",,"Catolesia mentiens","CR","Criticamente em Perigo"
"Lepidaploa pseudaurea (D.J.N.Hind) H.Rob.","312617","Lepidaploa pseudaurea","Asteraceae",,"Lepidaploa pseudaurea","EN","Em Perigo"
"Anthurium illepidum Schott","284147","Anthurium illepidum","Araceae",,"Anthurium illepidum","EN","Em Perigo"
"Drymoluber brazili (Gomes, 1918)","246620","Drymoluber brazili","Colubridae",,,"EN","Em Perigo"
"Dichorisandra leucosepala Aona & M.C.E. Amaral","346902","Dichorisandra leucosepala","Commelinaceae",,"Dichorisandra leucosepala","EN","Em Perigo"
"Plinia callosa Sobral","341664","Plinia callosa","Myrtaceae",,"Plinia callosa","EN","Em Perigo"
"Rupestrea carvalhoana (Baumgratz & Souza) Almeda, Michelang.& R.Goldenb.","393889","Rupestrea carvalhoana","Melastomataceae",,"Rupestrea carvalhoana","CR","Criticamente em Perigo"
"Trichogoniopsis morii R.M.King & H.Rob.","285970","Trichogoniopsis morii","Asteraceae",,"Trichogoniopsis morii","CR","Criticamente em Perigo"
"Acritopappus connatifolius (Soar.Nunes) R.M.King & H.Rob.","284674","Acritopappus connatifolius","Asteraceae",,"Acritopappus connatifolius","EN","Em Perigo"
"Hornschuchia leptandra D.M.Johnson","375895","Hornschuchia leptandra","Annonaceae",,"Hornschuchia leptandra","EN","Em Perigo"
"Tropidurus erythrocephalus Rodrigues, 1987","241604","Tropidurus erythrocephalus","Tropiduridae",,,"VU","Vulnerável"
"Solanum evolvuloides Giacomin & Stehmann","388291","Solanum evolvuloides","Solanaceae",,"Solanum evolvuloides","EN","Em Perigo"
"Rourea macrocalyx Carbonó et al.","287438","Rourea macrocalyx","Connaraceae",,"Rourea macrocalyx","EN","Em Perigo"
"Camarea elongata Mamede","292166","Camarea elongata","Malpighiaceae",,"Camarea elongata","VU","Vulnerável"
"Marsdenia queirozii Fontella","307781","Marsdenia queirozii","Apocynaceae",,"Marsdenia queirozii","EN","Em Perigo"
"Cardiospermum bahianum Ferrucci & Urdampilleta","329573","Cardiospermum bahianum","Sapindaceae",,"Cardiospermum bahianum","VU","Vulnerável"
"Piptadenia ramosissima Benth.","291371","Piptadenia ramosissima","Fabaceae",,"Piptadenia ramosissima","VU","Vulnerável"
"Pradosia longipedicellata Alves-Araújo & M.Alves","294231","Pradosia longipedicellata","Sapotaceae",,"Pradosia longipedicellata","EN","Em Perigo"
"Pyrrhura cruentata (Wied, 1820)","175011","Pyrrhura cruentata","Psittacidae",,"Tiriba-de-testa-vermelha","VU","Vulnerável"
"Stachytarpheta almasensis Mansf.","297723","Stachytarpheta almasensis","Verbenaceae",,"Stachytarpheta almasensis","EN","Em Perigo"
"Dichorisandra marantoides Aona & Faden","346893","Dichorisandra marantoides","Commelinaceae",,"Dichorisandra marantoides","VU","Vulnerável"
"Stephanopodium magnifolium Prance","331393","Stephanopodium magnifolium","Dichapetalaceae",,"Stephanopodium magnifolium","CR","Criticamente em Perigo"
"Anomochloa marantoidea Brongn.","275896","Anomochloa marantoidea","Poaceae",,"Anomochloa marantoidea","EN","Em Perigo"
"Ormosia limae D.B.O.S.Cardoso & L.P.Queiroz","380322","Ormosia limae","Fabaceae",,"Ormosia limae","EN","Em Perigo"
"Eriope luetzelburgii Harley","289969","Eriope luetzelburgii","Lamiaceae",,"Eriope luetzelburgii","VU","Vulnerável"
"Hypsolebias adornatus (Costa, 2000)","158479","Hypsolebias adornatus","Rivulidae","Animalia","Peixe-anual","VU","Vulnerável"
"Eurolophosaurus sp. n. 2",,,,,,"EN","Em Perigo"
"Hypsolebias ghisolfii (Costa, Cyrino & Nielsen, 1996)","189856","Hypsolebias ghisolfii","Rivulidae","Animalia","Peixe-anual","CR","Criticamente em Perigo"
"Eriope viscosa Harley & Walsingham","372307","Eriope viscosa","Lamiaceae",,"Eriope viscosa","EN","Em Perigo"
"Utricularia rostrata A. Fleischm. & Rivadavia","390703","Utricularia rostrata","Lentibulariaceae",,"Utricularia rostrata","EN","Em Perigo"
"Stemodia harleyi B.L.Turner","309735","Stemodia harleyi","Plantaginaceae",,"Stemodia harleyi","VU","Vulnerável"
"Pseudostifftia kingii H.Rob.","278818","Pseudostifftia kingii","Asteraceae",,"Pseudostifftia kingii","EN","Em Perigo"
"Tibouchina taperoensis Wurdack","339150","Tibouchina taperoensis","Melastomataceae",,"Tibouchina taperoensis","VU","Vulnerável"
"Stachytarpheta radlkoferiana Mansf.","297801","Stachytarpheta radlkoferiana","Verbenaceae",,"Stachytarpheta radlkoferiana","VU","Vulnerável"
"Goniopsis cruentata (Latreille, 1803)","235503","Goniopsis cruentata","Grapsidae","Animalia","Aratu-do-mangue e aratu- vermelho","VU","Vulnerável"
"Gymnodactylus vanzolini Cassimiro & Rodrigues, 2009","205863","Gymnodactylus vanzolinii","Phyllodactylidae",,,"EN","Em Perigo"
"Peixotoa adenopoda C.E.Anderson","292272","Peixotoa adenopoda","Malpighiaceae",,"Peixotoa adenopoda","EN","Em Perigo"
"Luetzelburgia harleyi D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","327328","Luetzelburgia harleyi","Fabaceae",,"Luetzelburgia harleyi","EN","Em Perigo"
"Portea nana Leme & H.Luther","328473","Portea nana","Bromeliaceae",,"Portea nana","EN","Em Perigo"
"Sclerurus macconnelli Chubb, 1919","164296","Sclerurus macconnelli","Scleruridae","Animalia","Vira-folha-de-peito-vermelho","EN","Em Perigo"
"Eurolophosaurus sp. n. 1",,,,,,"VU","Vulnerável"
"Cattleya tenuis Campacci & Vedovello","293827","Cattleya tenuis","Orchidaceae",,"Cattleya tenuis","EN","Em Perigo"
"Kielmeyera argentea Choisy","329971","Kielmeyera argentea","Calophyllaceae",,"Kielmeyera argentea","EN","Em Perigo"
"Ouratea platicaulis Sastre","293563","Ouratea platicaulis","Ochnaceae",,"Ouratea platicaulis","EN","Em Perigo"
"Sebastiania trinervia (Müll.Arg.) Müll.Arg.","359167","Sebastiania trinervia","Euphorbiaceae",,"Sebastiania trinervia","VU","Vulnerável"
"Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","291417","Pterocarpus monophyllus","Fabaceae",,"Pterocarpus monophyllus","VU","Vulnerável"
"Lippia alnifolia Mart. & Schauer","297635","Lippia alnifolia","Verbenaceae",,"Lippia alnifolia","VU","Vulnerável"
"Phoneutria bahiensis Simó & Brescovit, 2001",,,,,"Armadeira-da-Bahia, aranha-das- bananas-baiana","VU","Vulnerável"
"Piper bahianum Yunck.","275181","Piper bahianum","Piperaceae",,"Piper bahianum","EN","Em Perigo"
"Vriesea roberto-seidelii W.Weber","329129","Vriesea roberto-seidelii","Bromeliaceae",,"Vriesea roberto-seidelii","VU","Vulnerável"
"Aechmea viridostigma Leme & H.Luther","327071","Aechmea viridostigma","Bromeliaceae",,"Aechmea viridostigma","VU","Vulnerável"
"Bauhinia funchiana Vaz & G.P. Lewis","393835","Bauhinia funchiana","Fabaceae",,"Bauhinia funchiana","CR","Criticamente em Perigo"
"Campomanesia costata M. Ibrahim & Landrum","349597","Campomanesia costata","Myrtaceae",,"Campomanesia costata","EN","Em Perigo"
"Pterolepis rotundifolia Wurdack","292919","Pterolepis rotundifolia","Melastomataceae",,"Pterolepis rotundifolia","EN","Em Perigo"
"Psilophthalmus paeminosus Rodrigues, 1991","266980","Psilophthalmus paeminosus","Gymnophthalmidae",,,"EN","Em Perigo"
"Turnera maracasana Arbo","282482","Turnera maracasana","Turneraceae",,"Turnera maracasana","EN","Em Perigo"
"Phasmahyla spectabilis Cruz, Feio & Nascimento, 2008","123090","Phasmahyla spectabilis","Hylidae",,,"VU","Vulnerável"
"Dyckia secunda L.B.Sm.","314010","Dyckia secunda","Bromeliaceae",,"Dyckia secunda","EN","Em Perigo"
"Conchocarpus punctatus Kallunki","365228","Conchocarpus punctatus","Rutaceae",,"Conchocarpus punctatus","VU","Vulnerável"
"Anthurium morii Mayo & Haigh","307848","Anthurium morii","Araceae",,"Anthurium morii","EN","Em Perigo"
"Calliandra pubens Renvoize","280794","Calliandra pubens","Fabaceae",,"Calliandra pubens","VU","Vulnerável"
"Comanthera floccosa (Moldenke) L.R.Parra & Giul.","393372","Comanthera floccosa","Eriocaulaceae",,"Comanthera floccosa","EN","Em Perigo"
"Piriqueta abairana Arbo","297270","Piriqueta abairana","Turneraceae",,"Piriqueta abairana","EN","Em Perigo"
"Sciadotenia campestris Barneby","293060","Sciadotenia campestris","Menispermaceae",,"Sciadotenia campestris","VU","Vulnerável"
"Eriope polyphylla Mart. ex Benth.","289981","Eriope polyphylla","Lamiaceae",,"Eriope polyphylla","VU","Vulnerável"
"Schultesia crenuliflora Mart.","289784","Schultesia crenuliflora","Gentianaceae",,"Schultesia crenuliflora","VU","Vulnerável"
"Duguetia reticulata Maas","375485","Duguetia reticulata","Annonaceae",,"Duguetia reticulata","EN","Em Perigo"
"Staelia glandulosa R.M. Salas & E.L. Cabral","275055","Staelia glandulosa","Rubiaceae",,"Staelia glandulosa","VU","Vulnerável"
"Oocephalus silvinae (Harley) Harley & J.F.B.Pastore","394898","Oocephalus silvinae","Lamiaceae",,"Oocephalus silvinae","EN","Em Perigo"
"Leptohyptis pinheiroi (Harley) Harley & J.F.B.Pastore","394866","Leptohyptis pinheiroi","Lamiaceae",,"Leptohyptis pinheiroi","EN","Em Perigo"
"Oligoryzomys rupestris Weksler & Bonvicino, 2005","157384","Oligoryzomys rupestris","Cricetidae","Animalia","Camundongo-do-mato","VU","Vulnerável"
"Begonia fellereriana Irmsch.","286278","Begonia fellereriana","Begoniaceae",,"Begonia fellereriana","EN","Em Perigo"
"Dendropanax geniculatus Fiaschi","324743","Dendropanax geniculatus","Araliaceae",,"Dendropanax geniculatus","VU","Vulnerável"
"Pavonia palmeirensis Krapov.","387540","Pavonia palmeirensis","Malvaceae",,"Pavonia palmeirensis","CR","Criticamente em Perigo"
"Croton sapiifolius Müll.Arg.","358353","Croton sapiifolius","Euphorbiaceae",,"Croton sapiifolius","VU","Vulnerável"
"Microlicia subaequalis Wurdack","292872","Microlicia subaequalis","Melastomataceae",,"Microlicia subaequalis","EN","Em Perigo"
"Gaya xiquexiquensis C.Takeuchi & G.L.Esteves","347520","Gaya xiquexiquensis","Malvaceae",,"Gaya xiquexiquensis","CR","Criticamente em Perigo"
"Harpalyce lanata L.P.Queiroz","308976","Harpalyce lanata","Fabaceae",,"Harpalyce lanata","EN","Em Perigo"
"Dichorisandra subtilis Aona & M.C.E.Amaral","284314","Dichorisandra subtilis","Commelinaceae",,"Dichorisandra subtilis","EN","Em Perigo"
"Aspronema dorsivittatum (Cope, 1862)",,,,,,"EN","Em Perigo"
"Cassidulus infidus Mortensen, 1948","129365","Cassidulus infidus","Cassidulidae",,,"VU","Vulnerável"
"Phthirusa macrophylla (Kuijt) Kuijt","384403","Phthirusa macrophylla","Loranthaceae",,"Phthirusa macrophylla","EN","Em Perigo"
"Jacamaralcyon tridactyla (Vieillot, 1817)","137607","Jacamaralcyon tridactyla","Galbulidae","Animalia","Cuitelão","CR","Criticamente em Perigo"
"Adenocalymma fruticosum A.H.Gentry","381263","Adenocalymma fruticosum","Bignoniaceae",,"Adenocalymma fruticosum","EN","Em Perigo"
"Tropidurus psammonastes Rodrigues, Kasahara, Yonenaga-Yassuda, 1988","210353","Tropidurus psammonastes","Tropiduridae",,,"EN","Em Perigo"
"Cambessedesia wurdackii A.B.Martins","292650","Cambessedesia wurdackii","Melastomataceae",,"Cambessedesia wurdackii","VU","Vulnerável"
"Sphyrna mokarran (Rüppell, 1837)","202285","Sphyrna mokarran","Sphyrnidae","Animalia","Tubarão-martelo-grande","EN","Em Perigo"
"Isostichopus badionotus (Selenka, 1867)","219751","Isostichopus badionotus","Stichopodidae","Animalia","Pepino-do-mar","VU","Vulnerável"
"Micranthocereus streckeri Van Heek & Van Criek.","368009","Micranthocereus streckeri","Cactaceae",,"Micranthocereus streckeri","CR","Criticamente em Perigo"
"Hydromedusa maximiliani (Mikan, 1820)","170806","Hydromedusa maximiliani","Chelidae","Animalia","Cágado d’água","EN","Em Perigo"
"Balaenoptera borealis Lesson, 1828","265538","Balaenoptera borealis","Balaenopteridae","Animalia","Baleia-sei","EN","Em Perigo"
"Alouatta guariba guariba (Humboldt, 1812)","137863","Alouatta guariba guariba","Atelidae","Animalia","Bugio-marrom","CR","Criticamente em Perigo"
"Anthurium erskinei Mayo","284141","Anthurium erskinei","Araceae",,"Anthurium erskinei","EN","Em Perigo"
"Acritopappus harleyi R.M.King & H.Rob.","284680","Acritopappus harleyi","Asteraceae",,"Acritopappus harleyi","VU","Vulnerável"
"Acritopappus diamantinicus Bautista, S.Ortiz & Rodr.Oubiña","319388","Acritopappus diamantinicus","Asteraceae",,"Acritopappus diamantinicus","VU","Vulnerável"
"Pristis pectinata Latham, 1794","140625","Pristis pectinata","Pristidae","Animalia","Peixe-serra","CR","Criticamente em Perigo"
"Chaetomys subspinosus (Olfers, 1818)","127266","Chaetomys subspinosus","Erethizontidae","Animalia","Ouriço-preto","VU","Vulnerável"
"Dendropsophus studerae (Carvalho-e-Silva, Carvalho-e-Silva & Izecksohn, 2003)","249525","Dendropsophus studerae","Hylidae",,,"CR","Criticamente em Perigo"
"Leopardus guttulus (Hensel, 1872)",,,,"Animalia","Gato-do-mato","EN","Em Perigo"
"Cattleya sincorana (Schltr.) Van den Berg","312955","Cattleya sincorana","Orchidaceae",,"Cattleya sincorana","VU","Vulnerável"
"Brachyteles hypoxanthus (Khul, 1820)","137861","Brachyteles hypoxanthus","Atelidae","Animalia","Muriqui-do-norte","CR","Criticamente em Perigo"
"Euscarthmus rufomarginatus (Pelzeln, 1868)","212179","Euscarthmus rufomarginatus","Tyrannidae","Animalia","Maria-corruíra","VU","Vulnerável"
"Rhipsalis hileiabaiana (N.P.Taylor & Barthlott) N. Korotkova & Barthlott","309143","Rhipsalis hileiabaiana","Cactaceae",,"Rhipsalis hileiabaiana","VU","Vulnerável"
"Typhlops yonenagae (Rodrigues, 1991)",,,,,,"EN","Em Perigo"
"Sinningia harleyi Wiehler & Chautems","289818","Sinningia harleyi","Gesneriaceae",,"Sinningia harleyi","EN","Em Perigo"
"Vriesea graciliscapa W.Weber","286711","Vriesea graciliscapa","Bromeliaceae",,"Vriesea graciliscapa","CR","Criticamente em Perigo"
"Angelonia procumbens (Schrad.) Nees & Mart.","275627","Angelonia procumbens","Plantaginaceae",,"Angelonia procumbens","EN","Em Perigo"
"Eugenia longifolia DC.","340470","Eugenia longifolia","Myrtaceae",,"Eugenia longifolia","EN","Em Perigo"
"Sparisoma axillare (Steindachner, 1878)","195426","Sparisoma axillare","Labridae","Animalia","Peixe-papagaio-cinza","VU","Vulnerável"
"Diospyros amabi B.Walln.","331702","Diospyros amabi","Ebenaceae",,"Diospyros amabi","EN","Em Perigo"
"Huberia carvalhoi Baumgratz","292662","Huberia carvalhoi","Melastomataceae",,"Huberia carvalhoi","EN","Em Perigo"
"Myrcia pseudospectabilis Sobral","292299","Myrcia pseudospectabilis","Myrtaceae",,"Myrcia pseudospectabilis","EN","Em Perigo"
"Ocotea rohweri P.L.R. Moraes van der Werff","387030","Ocotea rohweri","Lauraceae",,"Ocotea rohweri","VU","Vulnerável"
"Pfaffia tuberculosa Pedersen","307674","Pfaffia tuberculosa","Amaranthaceae",,"Pfaffia tuberculosa","EN","Em Perigo"
"Eugenia viscacea Sobral","341655","Eugenia viscacea","Myrtaceae",,"Eugenia viscacea","VU","Vulnerável"
"Angelonia blanchetii Benth.","309675","Angelonia blanchetii","Plantaginaceae",,"Angelonia blanchetii","EN","Em Perigo"
"Microlicia balsamifera (DC.) Mart.","292821","Microlicia balsamifera","Melastomataceae",,"Microlicia balsamifera","VU","Vulnerável"
"Sida meloana Krapov.","342534","Sida meloana","Malvaceae",,"Sida meloana","CR","Criticamente em Perigo"
"Lymania alvimii (L.B.Sm. & R.W.Read) R.W.Read","327832","Lymania alvimii","Bromeliaceae",,"Lymania alvimii","EN","Em Perigo"
"Comanthera mucugensis (Giul.) L.R.Parra & Giul.","392520","Comanthera mucugensis","Eriocaulaceae",,"Comanthera mucugensis","EN","Em Perigo"
"Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams","385220","Gomesa sincorana","Orchidaceae",,"Gomesa sincorana","VU","Vulnerável"
"Philodryas agassizii (Jan, 1863)","243755","Philodryas agassizii","Dipsadidae",,,"EN","Em Perigo"
"Helicteres rufipila Cristóbal","309159","Helicteres rufipila","Malvaceae",,"Helicteres rufipila","CR","Criticamente em Perigo"
"Paralychnophora harleyi (H.Rob.) D.J.N.Hind","285584","Paralychnophora harleyi","Asteraceae",,"Paralychnophora harleyi","VU","Vulnerável"
"Leopardus tigrinus (Schreber. 1775)","226826","Leopardus tigrinus","Felidae","Animalia",,"VU","Vulnerável"
"Sporagra yarrellii (Audubon, 1839)",,,,"Animalia","Pintassilgo-do-nordeste","VU","Vulnerável"
"Leontopithecus chrysomelas (Kuhl, 1820)","188748","Leontopithecus chrysomelas","Callitrichidae","Animalia","Mico-leão-da-cara-dourada","EN","Em Perigo"
"Lymania spiculata Leme & Forzza","327855","Lymania spiculata","Bromeliaceae",,"Lymania spiculata","CR","Criticamente em Perigo"
"Glaphyropoma spinosum Bichuette, de Pinna & Trajano, 2008","142981","Glaphyropoma spinosum","Trichomycteridae","Animalia","Bagrinho-de-cavernas","VU","Vulnerável"
"Stigmaphyllon caatingicola R.F. Almeida & Amorim","394699","Stigmaphyllon caatingicola","Malpighiaceae",,"Stigmaphyllon caatingicola","EN","Em Perigo"
"Cotinga maculata (Statius Muller, 1776)","156896","Cotinga maculata","Cotingidae",,"Crejoá","VU","Vulnerável"
"Ophthalmolebias rosaceus (Costa, Nielsen & de Luca 2001)",,,,,,"VU","Vulnerável"
"Megasoma gyas gyas (Herbst, 1785)","114649","Megasoma (Megasoma) gyas gyas","Melolonthidae","Animalia","Besouro-de-chifre","VU","Vulnerável"
"Begonia pinheironis L.B.Sm. ex S.F.Sm. & Wassh.","286291","Begonia pinheironis","Begoniaceae",,"Begonia pinheironis","VU","Vulnerável"
"Moldenhawera nutans L.P.Queiroz et al.","291313","Moldenhawera nutans","Fabaceae",,"Moldenhawera nutans","VU","Vulnerável"
"Anchietea ferrucciae Paula-Souza & Zmarzty","384047","Anchietea ferrucciae","Violaceae",,"Anchietea ferrucciae","EN","Em Perigo"
"Peixotoa bahiana C.E. Anderson","292274","Peixotoa bahiana","Malpighiaceae","Animalia","Peixotoa bahiana","CR","Criticamente em Perigo"
"Ophthalmolebias bokermanni (Carvalho & Da Cruz 1987)",,,,"Animalia","Peixe-anual","CR","Criticamente em Perigo"
"Conchocarpus santosii Pirani & Kallunki","365234","Conchocarpus santosii","Rutaceae",,"Conchocarpus santosii","VU","Vulnerável"
"Rhipidomys cariri Tribe, 2005","157554","Rhipidomys cariri","Cricetidae","Animalia","Rato-de-algodão","VU","Vulnerável"
"Sclerurus cearensis Snethlage, 1924","195630","Sclerurus cearensis","Scleruridae","Animalia","Papa-formigas","EN","Em Perigo"
"Carcharhinus longimanus (Poey, 1861)","128073","Carcharhinus longimanus","Carcharhinidae","Animalia","Tubarão-estrangeiro","VU","Vulnerável"
"Hohenbergia littoralis L.B.Sm.","327792","Hohenbergia littoralis","Bromeliaceae",,"Hohenbergia littoralis","EN","Em Perigo"
"Schefflera aurata Fiaschi","324821","Schefflera aurata","Araliaceae",,"Schefflera aurata","CR","Criticamente em Perigo"
"Plinia longiacuminata Sobral","341693","Plinia longiacuminata","Myrtaceae",,"Plinia longiacuminata","CR","Criticamente em Perigo"
"Celeus flavus (Statius Muller, 1776)","267958","Celeus flavus","Picidae","Animalia","Pica-pau-amarelo","EN","Em Perigo"
"Qualea hannekesaskiarum Marc.-Berti","283299","Qualea hannekesaskiarum","Vochysiaceae",,"Qualea hannekesaskiarum","VU","Vulnerável"
"Microlicia aurea Wurdack","309268","Microlicia aurea","Melastomataceae",,"Microlicia aurea","VU","Vulnerável"
"Rhopias gularis (Spix, 1825)","262209","Rhopias gularis","Thamnophilidae","Animalia","Choquinha-da-garganta-pintada","EN","Em Perigo"
"Couepia coarctata Prance","286938","Couepia coarctata","Chrysobalanaceae",,"Couepia coarctata","CR","Criticamente em Perigo"
"Hyptis bahiensis Harley","290014","Hyptis bahiensis","Lamiaceae",,"Hyptis bahiensis","EN","Em Perigo"
"Macrobrachium denticulatum Ostrovski, Fonseca e Silva-Ferreira, 1996","224802","Macrobrachium denticulatum","Palaemonidae","Animalia","Pitu","EN","Em Perigo"
"Bifrenaria silvana V.P.Castro","342805","Bifrenaria silvana","Orchidaceae",,"Bifrenaria silvana","CR","Criticamente em Perigo"
"Staelia catechosperma K.Schum.","349938","Staelia catechosperma","Rubiaceae",,"Staelia catechosperma","VU","Vulnerável"
"Euplassa bahiensis (Meisn.) I.M.Johnst.","278469","Euplassa bahiensis","Proteaceae",,"Euplassa bahiensis","VU","Vulnerável"
"Cyanopsitta spixii (Wagler, 1832)","175381","Cyanopsitta spixii","Psittacidae","Animalia","Ararinha-azul","CR-PEW","CR-PEW"
"Ligaria teretiflora (Rizzini) Kuijt","291816","Ligaria teretiflora","Loranthaceae",,"Ligaria teretiflora","EN","Em Perigo"
"Corydoras lacerdai Hieronimus 1995","156667","Corydoras lacerdai","Callichthyidae",,,"EN","Em Perigo"
"Tolypeutes tricinctus (Linnaeus, 1758)","267673","Tolypeutes tricinctus","Dasypodidae","Animalia","Tatu-bola","EN","Em Perigo"
"Phylloscartes roquettei Snethlage, 1928","152783","Phylloscartes roquettei","Rhynchocyclidae","Animalia","Cara-dourada","EN","Em Perigo"
"Jacquemontia diamantinensis Buril","367153","Jacquemontia diamantinensis","Convolvulaceae",,"Jacquemontia diamantinensis","VU","Vulnerável"
"Parodiolyra ramosissima (Trin.) Soderstr. & Zuloaga","295172","Parodiolyra ramosissima","Poaceae",,"Parodiolyra ramosissima","EN","Em Perigo"
"Myrcia almasensis NicLugh.","293373","Myrcia almasensis","Myrtaceae",,"Myrcia almasensis","EN","Em Perigo"
"Voluta ebraea Linnaeus, 1758","183530","Voluta ebraea","Volutidae","Animalia","Búzio","VU","Vulnerável"
"Cubitanthus alatus (Cham. & Schltdl.) Barringer","377997","Cubitanthus alatus","Linderniaceae",,"Cubitanthus alatus","VU","Vulnerável"
"Dichanthelium stipiflorum (Renvoize) Zuloaga","294901","Dichanthelium stipiflorum","Poaceae",,"Dichanthelium stipiflorum","VU","Vulnerável"
"Alvimia auriculata Soderstr. & Londoño","294768","Alvimia auriculata","Poaceae",,"Alvimia auriculata","EN","Em Perigo"
"Goeppertia fasciata (Regel & Körn) Borchs. & Suárez","385090","Goeppertia fasciata","Marantaceae",,"Goeppertia fasciata","CR","Criticamente em Perigo"
"Polygala trifurcata Chodat","295578","Polygala trifurcata","Polygalaceae",,"Polygala trifurcata","EN","Em Perigo"
"Mikania hagei R.M.King & H.Rob.","285496","Mikania hagei","Asteraceae",,"Mikania hagei","VU","Vulnerável"
"Carcharhinus falciformis (Müller & Henle, 1839)","254388","Carcharhinus falciformis","Carcharhinidae","Animalia","Tubarão-lombo-preto","VU","Vulnerável"
"Myrmoderus ruficaudus (Wied, 1831)","262264","Myrmoderus ruficaudus","Thamnophilidae","Animalia","Formigueiro-de-cauda-ruiva","EN","Em Perigo"
"Eremitis robusta Hollowell & Soderstr. ex F.M. Ferreira & R.P. Oliveira","377937","Eremitis robusta","Poaceae",,"Eremitis robusta","CR","Criticamente em Perigo"
"Nothoscordum bahiense Ravenna","283587","Nothoscordum bahiense","Amaryllidaceae",,"Nothoscordum bahiense","VU","Vulnerável"
"Erythroxylum splendidum Plowman","332581","Erythroxylum splendidum","Erythroxylaceae",,"Erythroxylum splendidum","VU","Vulnerável"
"Marcetia nummularia Markgr.","292724","Marcetia nummularia","Melastomataceae",,"Marcetia nummularia","EN","Em Perigo"
"Phoebetria fusca (Hilsenberg, 1822)","180251","Phoebetria fusca","Diomedeidae","Animalia","Piau-preto","VU","Vulnerável"
"Eplingiella cuniloides (Epling) Harley & J.F.B.Pastore","394854","Eplingiella cuniloides","Lamiaceae",,"Eplingiella cuniloides","EN","Em Perigo"
"Tayassu pecari (Link, 1795)","225421","Tayassu pecari","Tayassuidae","Animalia","Queixada","EN","Em Perigo"
"Monsanima morrenioides (Goyder) Liede & Meve","363321","Monsanima morrenioides","Apocynaceae",,"Monsanima morrenioides","CR","Criticamente em Perigo"
"Martianthus sancti-gabrielii (Harley) Harley & J.F.B.Pastore","394870","Martianthus sancti-gabrielii","Lamiaceae",,"Martianthus sancti-gabrielii","EN","Em Perigo"
"Lymania corallina (Brong. ex Beer) R.W.Read","327840","Lymania corallina","Bromeliaceae",,"Lymania corallina","EN","Em Perigo"
