"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Porophyllum bahiense D.J.N.Hind","285689","Porophyllum bahiense","Asteraceae",,"Porophyllum bahiense","VU","Vulnerável"
"Pilosocereus glaucochrous (Werderm.) Byles & G.D.Rowley","368183","Pilosocereus glaucochrous","Cactaceae",,"Pilosocereus glaucochrous","VU","Vulnerável"
"Prepusa montana Mart.","289778","Prepusa montana","Gentianaceae",,"Prepusa montana","VU","Vulnerável"
"Ilex auricula S.Andrews","307834","Ilex auricula","Aquifoliaceae",,"Ilex auricula","CR","Criticamente em Perigo"
"Habeas priscus Simone, 2013","149233","Habeas priscus","Diplommatinidae",,,"VU","Vulnerável"
"Cyclodontina tapuia Salvador & Simone, 2014","246564","Cyclodontina tapuia","Odontostomidae",,,"VU","Vulnerável"
"Lasiolaena lychnophorioides Roque et al.","388080","Lasiolaena lychnophorioides","Asteraceae",,"Lasiolaena lychnophorioides","EN","Em Perigo"
"Bothrops pirajai Amaral, 1923","215181","Bothrops pirajai","Viperidae","Animalia","Jararacuçu-tapete","EN","Em Perigo"
"Pyrrhura leucotis (Kuhl, 1820)","206579","Pyrrhura leucotis","Psittacidae","Animalia","Tiriba-de-orelha-branca","EN","Em Perigo"
"Pseuderanthemum albiflorum (Hook.) Radlk.","357265","Pseuderanthemum albiflorum","Acanthaceae",,"Pseuderanthemum albiflorum","EN","Em Perigo"
"Marcetia eimeariana A.B.Martins & Woodgyer","309263","Marcetia eimeariana","Melastomataceae",,"Marcetia eimeariana","VU","Vulnerável"
"Eubalaena australis Desmoulins, 1822","202658","Eubalaena australis","Balaenidae","Animalia","Baleia-franca-do-sul","EN","Em Perigo"
"Paepalanthus carvalhoi Giul. & E.B.Miranda","388816","Paepalanthus carvalhoi","Eriocaulaceae",,"Paepalanthus carvalhoi","VU","Vulnerável"
"Trimezia caulosa Ravenna","289920","Trimezia caulosa","Iridaceae",,"Trimezia caulosa","VU","Vulnerável"
"Amazona rhodocorytha (Salvadori, 1890)","238121","Amazona rhodocorytha","Psittacidae","Animalia","Chauâ","EN","Em Perigo"
"Eremanthus leucodendron Mattf.","312354","Eremanthus leucodendron","Asteraceae",,"Eremanthus leucodendron","EN","Em Perigo"
"Eugenia lacistema Sobral","341633","Eugenia lacistema","Myrtaceae",,"Eugenia lacistema","EN","Em Perigo"
"Alouatta caraya (Humboldt, 1812)","200494","Alouatta caraya","Atelidae","Animalia","Bugio-preto, guariba-preto","EN","Em Perigo"
"Micrastur mintoni Whittaker, 2002","257569","Micrastur mintoni","Falconidae","Animalia","Falcão-ciptico","RE","Regionalmente Extinto"
"Myrcia gigantea (O.Berg) Nied.","341234","Myrcia gigantea","Myrtaceae",,"Myrcia gigantea","EN","Em Perigo"
"Coarazuphium cessaima Gnaspini, Vanin & Godoy, 1998",,,,"Animalia","Besouro","VU","Vulnerável"
"Begonia umbraculifera Hook. f.","384650","Begonia umbraculifera","Begoniaceae",,"Begonia umbraculifera","CR","Criticamente em Perigo"
"Goeppertia rufibarba (Fenzl) Borchs. & S.Suárez","386176","Goeppertia rufibarba","Marantaceae",,"Goeppertia rufibarba","VU","Vulnerável"
"Pterodroma incerta (Schlegel, 1863)","172311","Pterodroma incerta","Procellariidae",,"Grazina-de-barriga-branca","VU","Vulnerável"
"Dichorisandra jardimii Aona & M.C.E.Amaral","284342","Dichorisandra jardimii","Commelinaceae",,"Dichorisandra jardimii","VU","Vulnerável"
"Standleya glomerulata J.G.Jardim & C.B.Costa","348369","Standleya glomerulata","Rubiaceae",,"Standleya glomerulata","EN","Em Perigo"
"Myrcia grazielae NicLugh.","292363","Myrcia grazielae","Myrtaceae",,"Myrcia grazielae","VU","Vulnerável"
"Griffinia parviflora Ker Gawl.","369739","Griffinia parviflora","Amaryllidaceae",,"Griffinia parviflora","CR","Criticamente em Perigo"
"Microcambeva draco Matos & Lima, 2010","206257","Microcambeva draco","Trichomycteridae",,,"EN","Em Perigo"
"Herpetacanthus tetrandrus (Nees & Mart.) Herter","331969","Herpetacanthus tetrandrus","Acanthaceae",,"Herpetacanthus tetrandrus","VU","Vulnerável"
"Oxalis alvimii Lourteig","274117","Oxalis alvimii","Oxalidaceae",,"Oxalis alvimii","EN","Em Perigo"
"Xiphopenaeus kroyeri (C. Heller, 1862)","229908","Xiphopenaeus kroyeri","Penaeidae",,"Camarão-sete-barbas","VU","Vulnerável"
