"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Dicypellium caryophylla-ceum","290196","Dicypellium caryophyllaceum","Lauraceae",,"Lauraceae","V","Vulnerável"
"Schroederichthys tenuis","165988","Schroederichthys tenuis","Scyliorhinidae",,"Scyliorhinidae","V","Vulnerável"
"Bufo ocellatus",,,,,,"V","Vulnerável"
"Deconychura longicauda zimmeri","142647","Deconychura longicauda zimmeri","Dendrocolaptidae",,"Dendrocolaptidae","V","Vulnerável"
"Trichomanes macilentum","347854","Trichomanes macilentum","Hymenophyllaceae",,"Hymenophyllaceae","V","Vulnerável"
"Apostolepis flavotorquata","122630","Apostolepis flavotorquata","Dipsadidae",,"Dipsadidae","V","Vulnerável"
"Liophis meridionalis",,,,,,"V","Vulnerável"
"Selenipedium isabelianum","364674","Selenipedium isabelianum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Cercomacra ferdinandi","200249","Cercomacra ferdinandi","Thamnophilidae",,"Thamnophilidae","V","Vulnerável"
"Megaphobema teceae",,,,,,"V","Vulnerável"
"Pseudopaludicola canga","198756","Pseudopaludicola canga","Leptodactylidae",,"Leptodactylidae","EN","Em Perigo"
"Tolmomyias assimilis paraensis","154755","Tolmomyias assimilis paraensis","Rhynchocyclidae",,"Rhynchocyclidae","EN","Em Perigo"
"Aguarunichthys tocantin-sensis",,,,,,"V","Vulnerável"
"Agrias claudina",,,,,,"EN","Em Perigo"
"Colobosaura modesta","173311","Colobosaura modesta","Gymnophthalmidae",,"Gymnophthalmidae","V","Vulnerável"
"Pilocarpus microphyllus","366309","Pilocarpus microphyllus","Rutaceae",,"Rutaceae","EN","Em Perigo"
"Celeus torquatus pietero-yensi","237483","Celeus torquatus pieteroyensi","Picidae",,"Picidae","EN","Em Perigo"
"Rhincodon typus","244549","Rhincodon typus","Rhincodontidae",,"Rhincodontidae","EN","Em Perigo"
"Macrobrachium carcinus","161860","Macrobrachium carcinus","Palaemonidae",,"Palaemonidae","V","Vulnerável"
"Sphyrna mokarran","202285","Sphyrna mokarran","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Coryphaspiza melanotis marajoara","264594","Coryphaspiza melanotis marajoara","Thraupidae",,"Thraupidae","V","Vulnerável"
"Trichechus inunguis","236533","Trichechus inunguis","Trichechidae",,"Trichechidae","EN","Em Perigo"
"Piprites chloris griseicens",,,,,,"V","Vulnerável"
"Eschweilera subcordata","360348","Eschweilera subcordata","Lecythidaceae",,"Lecythidaceae","V","Vulnerável"
"Tolypeutes tricinctus","267673","Tolypeutes tricinctus","Dasypodidae",,"Dasypodidae","V","Vulnerável"
"Heteropsis spruceana","352759","Heteropsis spruceana","Araceae",,"Araceae","V","Vulnerável"
"Megalobulimus oblongus","239676","Megalobulimus oblongus","Megalobulimidae",,"Megalobulimidae","EN","Em Perigo"
"Sakesphorus luctuosus araguayae","262295","Sakesphorus luctuosus araguayae","Thamnophilidae",,"Thamnophilidae","V","Vulnerável"
"Pouteria decussata","368340","Pouteria decussata","Sapotaceae",,"Sapotaceae","V","Vulnerável"
"Manilkara huberi","296852","Manilkara huberi","Sapotaceae",,"Sapotaceae","V","Vulnerável"
"Cebus kaapori","129773","Cebus kaapori","Cebidae",,"Cebidae","CR","Criticamente em Perigo"
"Banisteriopsis cachimbensis","321343","Banisteriopsis cachimbensis","Malpighiaceae",,"Malpighiaceae","EN","Em Perigo"
"Aspidosperma sandwithia-num","281730","Aspidosperma sandwithianum","Apocynaceae",,"Apocynaceae","V","Vulnerável"
"Isogomphodon oxyrhyn-chus","160464","Isogomphodon oxyrhynchus","Carcharhinidae",,"Carcharhinidae","CR","Criticamente em Perigo"
"Agrias hewitsonius",,,,,,"EN","Em Perigo"
"Bolitoglossa paraensis","115952","Bolitoglossa paraensis","Plethodontidae",,"Plethodontidae","V","Vulnerável"
"Prionace glauca","192336","Prionace glauca","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Prisits perotteti",,,,,,"CR","Criticamente em Perigo"
"Jacaranda egleri","386557","Jacaranda egleri","Bignoniaceae",,"Bignoniaceae","V","Vulnerável"
"Selenipedium palmifolium","364677","Selenipedium palmifolium","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Panthera onca","257864","Panthera onca","Felidae",,"Felidae","V","Vulnerável"
"Ateles marginatus","263378","Ateles marginatus","Atelidae",,"Atelidae","V","Vulnerável"
"Mabuya guaporicola","195004","Mabuya guaporicola","Scincidae",,"Scincidae","V","Vulnerável"
"Balaenoptera physalus","171588","Balaenoptera physalus","Balaenopteridae",,"Balaenopteridae","EN","Em Perigo"
"Dendrocincla merula badia","236972","Dendrocincla merula badia","Dendrocolaptidae",,"Dendrocolaptidae","EN","Em Perigo"
"Protium giganteum var. crassi- folium","393596","Protium giganteum subsp. crassifolium","Burseraceae",,"Burseraceae","V","Vulnerável"
"Avicularia ancylochira","263265","Avicularia ancylochira","Theraphosidae",,"Theraphosidae","EN","Em Perigo"
"Hypoleria lavinia mulviana","168924","Hypoleria lavinia mulviana","Nymphalidae",,"Nymphalidae","EN","Em Perigo"
"Agacephala margaridae","211157","Agacephala (Agacephala) margaridae","Melolonthidae",,"Melolonthidae","V","Vulnerável"
"Dendrocolaptes certhia me-dius",,,,,,"EN","Em Perigo"
"Monogereion carajensis","282751","Monogereion carajensis","Asteraceae",,"Asteraceae","CR","Criticamente em Perigo"
"Parides hahneli","225516","Parides hahneli","Papilionidae",,"Papilionidae","EN","Em Perigo"
