"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Scytalopus pachecoi","181902","Scytalopus pachecoi","Rhinocryptidae",,"Rhinocryptidae","EN","Em Perigo","2011"
"Glandulocauda caerulea","202389","Glandulocauda caerulea","Characidae",,"Characidae","CR","Criticamente em perigo","2011"
"Sporophila frontalis","264571","Sporophila frontalis","Thraupidae","Animalia","Thraupidae","VU","Vulnerável","2011"
"Madracis decactis","243402","Madracis decactis","Pocilloporidae",,"Pocilloporidae","VU","Vulnerável","2011"
"Mazama americana","262097","Mazama americana","Cervidae",,"Cervidae","EN","Em Perigo","2011"
"Basiceros plaumanni",,,,,,"EN","Em Perigo","2011"
"Mimagoniates rheocharis","138627","Mimagoniates rheocharis","Characidae",,"Characidae","VU","Vulnerável","2011"
"Rivulus haraldsioli",,,,,,"VU","Vulnerável","2011"
"Platyrinchus leucoryphus","115257","Platyrinchus leucoryphus","Platyrinchidae","Animalia","Platyrinchidae","VU","Vulnerável","2011"
"Sphyrna lewini","171151","Sphyrna lewini","Sphyrnidae",,"Sphyrnidae","EN","Em Perigo","2011"
"Rivulus luelingi",,,,,,"VU","Vulnerável","2011"
"Solenosmilia variabilis","224036","Solenosmilia variabilis","Caryophylliidae",,"Caryophylliidae","CR","Criticamente em perigo","2011"
"Mimagoniates rheocharis","138627","Mimagoniates rheocharis","Characidae",,"Characidae","VU","Vulnerável","2011"
"Tenedos major","154210","Tenedos major","Zodariidae",,"Zodariidae","VU","Vulnerável","2011"
"Tachyphonus cristatus",,,,,,"EN","Em Perigo","2011"
"Diomedea dabbenena","115936","Diomedea dabbenena","Diomedeidae",,"Diomedeidae","CR","Criticamente em perigo","2011"
"Hypsiboas semiguttatus","249463","Hypsiboas semiguttatus","Hylidae",,"Hylidae","EN","Em Perigo","2011"
"Merulaxis ater","244664","Merulaxis ater","Rhinocryptidae",,"Rhinocryptidae","VU","Vulnerável","2011"
"Sordellina punctata","180900","Sordellina punctata","Dipsadidae",,"Dipsadidae","VU","Vulnerável","2011"
"Crenicichla empheres","119803","Crenicichla empheres","Cichlidae",,"Cichlidae","VU","Vulnerável","2011"
"Euryades corethrus","130657","Euryades corethrus","Papilionidae",,"Papilionidae","EN","Em Perigo","2011"
"Lytechinus variegatus","267420","Lytechinus variegatus","Toxopneustidae",,"Toxopneustidae","VU","Vulnerável","2011"
"Tangara peruviana","233353","Tangara peruviana","Thraupidae","Animalia","Thraupidae","EN","Em Perigo","2011"
"Teutoniela plaumanni","182762","Teutoniella plaumanni","Micropholcommatidae",,"Micropholcommatidae","EN","Em Perigo","2011"
"Jenynsia sanctaecaterinae",,,,,,"VU","Vulnerável","2011"
"Eucidaris tribuloides","115921","Eucidaris tribuloides","Cidaridae",,"Cidaridae","VU","Vulnerável","2011"
"Leopardus pardalis","195743","Leopardus pardalis","Felidae",,"Felidae","EN","Em Perigo","2011"
"Rallus longirostris","211154","Rallus longirostris","Rallidae",,"Rallidae","VU","Vulnerável","2011"
"Tayassu pecari","225421","Tayassu pecari","Tayassuidae",,"Tayassuidae","CR","Criticamente em perigo","2011"
"Myiobius barbatus","250525","Myiobius barbatus","Onychorhynchidae",,"Onychorhynchidae","EN","Em Perigo","2011"
"Blepolenis catharinae","136735","Blepolenis catharinae","Nymphalidae",,"Nymphalidae","VU","Vulnerável","2011"
"Thalassarche chlororhynchos","179041","Thalassarche chlororhynchos","Diomedeidae",,"Diomedeidae","EN","Em Perigo","2011"
"Pteroglossus aracari","180312","Pteroglossus aracari","Ramphastidae",,"Ramphastidae","CR","Criticamente em perigo","2011"
"Micronycteris megalotis","206123","Micronycteris megalotis","Phyllostomidae",,"Phyllostomidae","VU","Vulnerável","2011"
