"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Pleroma guartelaensis F.S.Mey & R.Goldenb.","380666","Pleroma guartelaensis","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Couepia leitaofilhoi Prance","354753","Couepia leitaofilhoi","Chrysobalanaceae",,"Chrysobalanaceae","VU","Vulnerável","2016"
"Cratylia intermedia (Hassl.) L.P.Queiroz & R.Monteiro","326293","Cratylia intermedia","Fabaceae",,"Fabaceae","EX","Extinta","2016"
"Piper loefgrenii Yuncker","275395","Piper loefgrenii","Piperaceae",,"Piperaceae","EX","Extinta","2016"
"Faramea paratiensis M.Gomes","279176","Faramea paratiensis","Rubiaceae",,"Rubiaceae","EN","Em Perigo","2016"
"Calyptranthes ubatubana Sobral & Rochelle","393445","Calyptranthes ubatubana","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Chaetostoma glaziovii Cogn.","337559","Chaetostoma glaziovii","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Tibouchina eichleri Cogn.","338958","Tibouchina eichleri","Melastomataceae",,"Melastomataceae","EX","Extinta","2016"
"Miconia shepherdii R.Goldenb. & Reginato","338538","Miconia shepherdii","Melastomataceae",,"Melastomataceae","EN","Em Perigo","2016"
"Breutelia microdonta (Mitt.) Broth.","359643","Breutelia microdonta","Bartramiaceae",,"Bartramiaceae","EX","Extinta","2016"
"Cyrtopodium blanchetii Rchb.f.","293858","Cyrtopodium blanchetii","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Myrcia cordiifolia DC.","341183","Myrcia cordiifolia","Myrtaceae",,"Myrtaceae","EX","Extinta","2016"
"Dioscorea grandiflora Griseb.","331568","Dioscorea grandiflora","Dioscoreaceae",,"Dioscoreaceae","VU","Vulnerável","2016"
"Simaba insignis A.St.-Hil. & Tul.","367302","Simaba insignis","Simaroubaceae",,"Simaroubaceae","EN","Em Perigo","2016"
"Diphasium jussiaei (Desv. ex Poir.) Rothm.","320835","Diphasium jussiaei","Lycopodiaceae",,"Lycopodiaceae","VU","Vulnerável","2016"
"Stomatanthes loefgrenii (B.L. Rob.) H.Rob.","370735","Stomatanthes loefgrenii","Asteraceae",,"Asteraceae","EN","Em Perigo","2016"
"Galianthe souzae E.L.Cabral & Bacigalupo","279301","Galianthe souzae","Rubiaceae",,"Rubiaceae","EN","Em Perigo","2016"
"Chusquea anelythra Nees","276306","Chusquea anelythra","Poaceae",,"Poaceae","EX","Extinta","2016"
"Psychotria rhytidocarpa Müll.Arg.","279922","Psychotria rhytidocarpa","Rubiaceae",,"Rubiaceae","VU","Vulnerável","2016"
"Coussarea bocainae M. Gomes","278871","Coussarea bocainae","Rubiaceae",,"Rubiaceae","EN","Em Perigo","2016"
"Tibouchina minutiflora Cogn.","339066","Tibouchina minutiflora","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Microlicia myrtoidea Cham.","322316","Microlicia myrtoidea","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Symplocos rizzinii Occhioni","282179","Symplocos rizzinii","Symplocaceae",,"Symplocaceae","EX","Extinta","2016"
"Trigynaea oblongifolia Schltdl.","376106","Trigynaea oblongifolia","Annonaceae",,"Annonaceae","EN","Em Perigo","2016"
"Leandra lapae D’El Rei Souza & Baumgratz","337922","Leandra lapae","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Plinia hatschbachii (Mattos) Sobral","341683","Plinia hatschbachii","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Zygostates pellucida Rchb.f.","346353","Zygostates pellucida","Orchidaceae",,"Orchidaceae","EN","Em Perigo","2016"
"Inga mendoncaei Harms","325934","Inga mendoncaei","Fabaceae",,"Fabaceae","VU","Vulnerável","2016"
"Polygala galioides Poir.","295476","Polygala galioides","Polygalaceae",,"Polygalaceae","EX","Extinta","2016"
"Erythroxylum myrsinites Mart.","332542","Erythroxylum myrsinites","Erythroxylaceae",,"Erythroxylaceae","EN","Em Perigo","2016"
"Idiothamnus pseudorgyalis R.M.King & H.Rob.","379247","Idiothamnus pseudorgyalis","Asteraceae",,"Asteraceae","VU","Vulnerável","2016"
"Eugenia bunchosiifolia Nied.","340239","Eugenia bunchosiifolia","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Passiflora ischnoclada Harms","274464","Passiflora ischnoclada","Passifloraceae",,"Passifloraceae","CR","Criticamente em Perigo","2016"
"Butia microspadix Burret","311318","Butia microspadix","Arecaceae",,"Arecaceae","VU","Vulnerável","2016"
"Lessingianthus subcarduoides (H.Rob.) H.Rob.","312875","Lessingianthus subcarduoides","Asteraceae",,"Asteraceae","EX","Extinta","2016"
"Henriettea saldanhaei Cogn.","352617","Henriettea saldanhaei","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Apium prostratum Labill.","331719","Apium prostratum","Apiaceae",,"Apiaceae","VU","Vulnerável","2016"
"Leandra mattosii Baumgratz & D’El Rei Souza","337956","Leandra mattosii","Melastomataceae",,"Melastomataceae","EX","Extinta","2016"
"Barrosoa apiculata (Gardner) R.M.King & H.Rob.","284931","Barrosoa apiculata","Asteraceae",,"Asteraceae","EX","Extinta","2016"
"Rhamnidium glabrum Reissek","341926","Rhamnidium glabrum","Rhamnaceae",,"Rhamnaceae","VU","Vulnerável","2016"
"Chusquea tenuiglumis Döll","276404","Chusquea tenuiglumis","Poaceae",,"Poaceae","CR","Criticamente em Perigo","2016"
"Mysanthus uleanus (Harms) G.P.Lewis & A.Delgado Salinas","319659","Mysanthus uleanus","Fabaceae",,"Fabaceae","EN","Em Perigo","2016"
"Aspidosperma macrocarpon Mart.","298448","Aspidosperma macrocarpon","Apocynaceae",,"Apocynaceae","VU","Vulnerável","2016"
"Eryngium glaziovianum Urb.","330110","Eryngium glaziovianum","Apiaceae",,"Apiaceae","EX","Extinta","2016"
"Ocotea basicordatifolia Vattimo-Gil","334656","Ocotea basicordatifolia","Lauraceae",,"Lauraceae","VU","Vulnerável","2016"
"Convolvulus hasslerianus (Chodat) O’Donell","330335","Convolvulus hasslerianus","Convolvulaceae",,"Convolvulaceae","EX","Extinta","2016"
"Polypogon imberbis (Phil.) Johow","337093","Polypogon imberbis","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Peperomia emarginella C.DC.","274855","Peperomia emarginella","Piperaceae",,"Piperaceae","EX","Extinta","2016"
"Ichnanthus bambusiflorus (Trin.) Döll","276927","Ichnanthus bambusiflorus","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Ipomoea pinifolia Meisn.","315673","Ipomoea pinifolia","Convolvulaceae",,"Convolvulaceae","EX","Extinta","2016"
