"id";"taxonID";"scientificName";"family";"taxonRank";"scientificNameAuthorship";"taxonomicStatus";"countryCode";"threatStatus"
"77943";"77943";"Ditassa auriflora";"APOCYNACEAE";"species";"Rapini";"accepted";"BR";"CR"
"26632";"26632";"Ditassa cipoensis";"APOCYNACEAE";"species";"(Fontella) Rapini";"accepted";"BR";"EN"
"25133";"25133";"Ditassa cordeiroana";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"EN"
"26649";"26649";"Ditassa itambensis";"APOCYNACEAE";"species";"Rapini";"accepted";"BR";"EN"
"4571";"4571";"Ditassa laevis";"APOCYNACEAE";"species";"Mart.";"accepted";"BR";"EN"
"4573";"4573";"Ditassa leonii";"APOCYNACEAE";"species";"Fontella & T.U.P.Konno";"accepted";"BR";"VU"
"4576";"4576";"Ditassa longisepala";"APOCYNACEAE";"species";"(Hua) Fontella & E.A.Schwarz";"accepted";"BR";"EN"
"4577";"4577";"Ditassa maricaensis";"APOCYNACEAE";"species";"Fontella & E.A.Schwarz";"accepted";"BR";"EN"
"4581";"4581";"Ditassa oberdanii";"APOCYNACEAE";"species";"Fontella & M.C.Alvarez";"accepted";"BR";"EN"
"4608";"4608";"Gonolobus dorothyanus";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"CR"
"4612";"4612";"Gyrostelma bornmuelleri";"APOCYNACEAE";"species";"Schltr. ex Malme";"accepted";"BR";"EN"
"4613";"4613";"Gyrostelma oxypetaloides";"APOCYNACEAE";"species";"E.Fourn.";"accepted";"BR";"EN"
"26683";"26683";"Hemipogon abietoides";"APOCYNACEAE";"species";"E.Fourn.";"accepted";"BR";"CR"
"26684";"26684";"Hemipogon furlanii";"APOCYNACEAE";"species";"(Fontella) Rapini";"accepted";"BR";"EN"
"26685";"26685";"Hemipogon hatschbachii";"APOCYNACEAE";"species";"(Fontella & Marquete) Rapini";"accepted";"BR";"CR"
"26689";"26689";"Hemipogon piranii";"APOCYNACEAE";"species";"(Fontella) Rapini";"accepted";"BR";"CR"
"4627";"4627";"Jobinia hatschbachii";"APOCYNACEAE";"species";"Fontella & E.A.Schwarz";"accepted";"BR";"EN"
"4646";"4646";"Macroditassa marianae";"APOCYNACEAE";"species";"Fontella & M.V.Ferreira";"accepted";"BR";"CR"
"4691";"4691";"Marsdenia otoniensis";"APOCYNACEAE";"species";"Fontella & Morillo";"accepted";"BR";"CR"
"25146";"25146";"Marsdenia queirozii";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"EN"
"4695";"4695";"Matelea bahiensis";"APOCYNACEAE";"species";"Morillo & Fontella";"accepted";"BR";"EN"
"4701";"4701";"Matelea glaziovii";"APOCYNACEAE";"species";"(E.Fourn.) Morillo";"accepted";"BR";"VU"
"4702";"4702";"Matelea hatschbachii";"APOCYNACEAE";"species";"(Fontella & Valente) Morillo";"accepted";"BR";"EN"
"4703";"4703";"Matelea marcoassisii";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"VU"
"4711";"4711";"Matelea santosii";"APOCYNACEAE";"species";"Morillo & Fontella";"accepted";"BR";"EN"
"25153";"25153";"Metastelma giuliettianum";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"EN"
"25154";"25154";"Metastelma harleyi";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"EN"
"106000";"106000";"Minaria bifurcata";"APOCYNACEAE";"species";"(Rapini) T.U.P.Konno & Rapini";"accepted";"BR";"CR"
"106006";"106006";"Minaria diamantinensis";"APOCYNACEAE";"species";"(Fontella) T.U.P.Konno & Rapini";"accepted";"BR";"CR"
"106010";"106010";"Minaria grazielae";"APOCYNACEAE";"species";"(Fontella & Marquete) T.U.P.Konno & Rapini";"accepted";"BR";"EN"
"25126";"25126";"Minaria harleyi";"APOCYNACEAE";"species";"(Fontella & Marquete) Rapini & U.C.S.Silva";"accepted";"BR";"EN"
"106011";"106011";"Minaria hemipogonoides";"APOCYNACEAE";"species";"(E.Fourn.) T.U.P.Konno & Rapini";"accepted";"BR";"CR"
"106017";"106017";"Minaria inconspicua";"APOCYNACEAE";"species";"(Rapini) Rapini";"accepted";"BR";"EN"
"106012";"106012";"Minaria magisteriana";"APOCYNACEAE";"species";"(Rapini) T.U.P.Konno & Rapini";"accepted";"BR";"EN"
"4720";"4720";"Minaria monocoronata";"APOCYNACEAE";"species";"(Rapini) T.U.P.Konno & Rapini";"accepted";"BR";"CR"
"106013";"106013";"Minaria polygaloides";"APOCYNACEAE";"species";"(Silveira) T.U.P.Konno & Rapini";"accepted";"BR";"EN"
"106014";"106014";"Minaria refractifolia";"APOCYNACEAE";"species";"(K.Schum.) T.U.P.Konno & Rapini";"accepted";"BR";"VU"
"106015";"106015";"Minaria semirii";"APOCYNACEAE";"species";"(Fontella) T.U.P.Konno & Rapini";"accepted";"BR";"EN"
"25140";"25140";"Minaria volubilis";"APOCYNACEAE";"species";"Rapini & U.C.S.Silva";"accepted";"BR";"EN"
"25129";"25129";"Monsanima morrenioides";"APOCYNACEAE";"species";"(Goyder) Liede & Meve";"accepted";"BR";"CR"
"4757";"4757";"Oxypetalum dusenii";"APOCYNACEAE";"species";"Malme";"accepted";"BR";"EN"
"26731";"26731";"Oxypetalum ekblomii";"APOCYNACEAE";"species";"Malme";"accepted";"BR";"EN"
"4764";"4764";"Oxypetalum glaziovii";"APOCYNACEAE";"species";"(E.Fourn.) Fontella & Marquete";"accepted";"BR";"EN"
"4773";"4773";"Oxypetalum leonii";"APOCYNACEAE";"species";"Fontella";"accepted";"BR";"EN"
"4780";"4780";"Oxypetalum mexiae";"APOCYNACEAE";"species";"Malme";"accepted";"BR";"CR"
"4834";"4834";"Prestonia solanifolia";"APOCYNACEAE";"species";"(Müll.Arg.) Woodson";"accepted";"BR";"EN"
"33777";"33777";"Tabernaemontana cumata";"APOCYNACEAE";"species";"Leeuwenb.";"accepted";"BR";"EN"
"25164";"25164";"Ilex auricula";"AQUIFOLIACEAE";"species";"S.Andrews";"accepted";"BR";"CR"
"4898";"4898";"Ilex loranthoides";"AQUIFOLIACEAE";"species";"Mart. ex Reissek";"accepted";"BR";"VU"
"26495";"26495";"Ilex prostrata";"AQUIFOLIACEAE";"species";"Groppo";"accepted";"BR";"CR"
"4941";"4941";"Anthurium jureianum";"ARACEAE";"species";"Cath. & Olaio";"accepted";"BR";"VU"
"4942";"4942";"Anthurium langsdorffii";"ARACEAE";"species";"Schott";"accepted";"BR";"EN"
"4950";"4950";"Anthurium lucidum";"ARACEAE";"species";"Kunth";"accepted";"BR";"EN"
"4952";"4952";"Anthurium luschnathianum";"ARACEAE";"species";"Kunth";"accepted";"BR";"EN"
"4968";"4968";"Anthurium radicans";"ARACEAE";"species";"K.Koch & Haage";"accepted";"BR";"VU"
"4982";"4982";"Anthurium xanthophylloides";"ARACEAE";"species";"G.M.Barroso";"accepted";"BR";"VU"
"22000";"22000";"Heteropsis flexuosa";"ARACEAE";"species";"(Kunth) G.S.Bunting";"accepted";"BR";"VU"
"5036";"5036";"Philodendron fragile";"ARACEAE";"species";"Nadruz & Mayo";"accepted";"BR";"EN"
"33898";"33898";"Philodendron spiritus-sancti";"ARACEAE";"species";"G.S.Bunting";"accepted";"BR";"EN"
"5121";"5121";"Hydrocotyle langsdorffii";"ARALIACEAE";"species";"DC.";"accepted";"BR";"EN"
"5135";"5135";"Schefflera aurata";"ARALIACEAE";"species";"Fiaschi";"accepted";"BR";"CR"
"33955";"33955";"Schefflera gardneri";"ARALIACEAE";"species";"(Seem.) Frodin & Fiaschi";"accepted";"BR";"EN"
"26555";"26555";"Schefflera glaziovii";"ARALIACEAE";"species";"(Taub.) Frodin & Fiaschi";"accepted";"BR";"EN"
"22074";"22074";"Schefflera sprucei";"ARALIACEAE";"species";"(Seem.) Harms";"accepted";"BR";"VU"
"5145";"5145";"Schefflera succinea";"ARALIACEAE";"species";"Frodin & Fiaschi";"accepted";"BR";"EN"
"33971";"33971";"Araucaria angustifolia";"ARAUCARIACEAE";"species";"(Bertol.) Kuntze";"accepted";"BR";"EN"
"121836";"121836";"Acrocomia emensis";"ARECACEAE";"species";"(Toledo) Lorenzi";"accepted";"BR";"VU"
"15667";"15667";"Allagoptera brevicalyx";"ARECACEAE";"species";"Moraes";"accepted";"BR";"VU"
"25191";"25191";"Attalea barreirensis";"ARECACEAE";"species";"Glassman";"accepted";"BR";"VU"
"26570";"26570";"Attalea brasiliensis";"ARECACEAE";"species";"Glassman";"accepted";"BR";"EN"
"34023";"34023";"Bactris timbuiensis";"ARECACEAE";"species";"H.Q.B.Fern.";"accepted";"BR";"EN"
"15704";"15704";"Butia capitata";"ARECACEAE";"species";"(Mart.) Becc.";"accepted";"BR";"VU"
"26574";"26574";"Butia eriospatha";"ARECACEAE";"species";"(Mart. ex Drude) Becc.";"accepted";"BR";"VU"
"34029";"34029";"Butia leptospatha";"ARECACEAE";"species";"(Burret) Noblick";"accepted";"BR";"CR"
