"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Aeglidae";"Aegla cavernicola";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tyrannidae";"Alectrurus tricolor";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hemiramphidae";"Hyporhamphus unifasciatus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Carangidae";"Selar crumenophthalmus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Geoplanidae";"Geoplana hina";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Dasyatidae";"Dasyatis americana";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Didelphidae";"Monodelphis unistriata";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tateidae";"Potamolithus troglobius";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cotingidae";"Phibalura flavirostris";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Saturniidae";"Almeidaia romualdoi";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Emberizoides ypiranganus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Strigidae";"Asio flammeus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cichlidae";"Crenicichla jupiaensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Leptolebias itanhaensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cricetidae";"Delomys sublineatus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Sicalis citrina";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Canidae";"Speothos venaticus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Molossidae";"Eumops perotis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
