"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea cavalcantei";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bignoniaceae";"Jacaranda carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bignoniaceae";"Jacaranda egleri";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bignoniaceae";"Jacaranda egleri";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bignoniaceae";"Jacaranda egleri";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Chrysobalanaceae";"Licania anneae";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"SINONIMO";"NOME_LEGITIMO_MAS_INCORRETO";"Moquilea anneae"
"Sapotaceae";"Manilkara excelsa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Sapotaceae";"Manilkara excelsa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Sapotaceae";"Manilkara excelsa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Sapotaceae";"Manilkara huberi";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"SINONIMO";"NOME_LEGITIMO_MAS_INCORRETO";"Manilkara elata"
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Mezilaurus itauba";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
