"Familia";"Nome_Cientifico";"Categoria";"Cod.";"Fonte";"Lista";"Dispositivo_Legal"
"Asteraceae";"Aspilia floribunda";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Galium diphyllum";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Malpighiaceae";"Thryallis brachystachys";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Apocynaceae";"Oxypetalum ekblomii";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Wedelia puberula";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lamiaceae";"Salvia campos-portoi";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Aechmea gamosepala";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Plantaginaceae";"Callitriche terrestris";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Galium humile";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Octomeria palmyrabellae";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Bromelia interior";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Psychotria microcarpa";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Saundersia mirabilis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Rudgea corymbulosa";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Verbesina polyanthes";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Xyridaceae";"Xyris stenophylla";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Stevia leptophylla";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Leandra quinquenodis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Hypericaceae";"Vismia martiana";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Senecio langei";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Cattleya velutina";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Arecaceae";"Euterpe edulis";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Gentianaceae";"Schultesia aptera";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Apocynaceae";"Mandevilla venulosa";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Dyckia minarum";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Poa bradei";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lejeuneaceae";"Cheilolejeunea lineata";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Apocynaceae";"Oxypetalum confusum";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Polygalaceae";"Polygala tamariscea";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Annonaceae";"Annona ubatubensis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Cucurbitaceae";"Cayaponia bonariensis";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lentibulariaceae";"Utricularia nigrescens";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Pottiaceae";"Timmiella barbuloides";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Declieuxia cordigera var. divergentiflora";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
