"nome_cientifico";"status_conservacao";"fonte";"lista";"dispositivo_legal"
"Constantia cipoensis";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Buddleja longiflora";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Acianthera duartei";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Hypoleria fallens";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Chrysophyllum imperiale";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Cryptanthus warasii";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Dalbergia nigra";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Abrawayaomys ruschii";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Accipiter poliogaster";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Lippia oxycnemis";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Pseudolaelia citrina";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Campyloneurum fallax";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Ara chloropterus";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Mimosa parviceps";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Ipomoea neurocephala";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Diplusodon orbicularis";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Lycianthes repens";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Sophronitis caulescens";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Actinocephalus claussenianus";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Catasetum macrocarpum";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Xyris jolyi";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Thelypteris macrophylla";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Mandirola ichthyostoma";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Colanthelia distans";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Lychnophoriopsis heterotheca";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Stevia organensis";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Mycteria americana";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Oxalis kuhlmannii";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Xyris blepharophylla";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Pseudotrimezia synandra";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Cissus xerophila";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Marcetia semiriana";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Paepalanthus distichophyllus";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Berberis campos-portoi";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Couepia monteclarensis";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Memora campicola";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Lippia pseudothea";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Paliavana plumerioides";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Uebelmannia buiningii";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Cyathea bipinnatifida";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Cyathea praecincta";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Odontophorus capueira";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Athyrium filix-femina";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Syngonanthus itambeensis";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Tabebuia alba";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Rhipsalis russellii";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Maytenus horrida";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Pilosocereus fulvilanatus subsp. fulvilanatus";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Cyrtopodium macedoi";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Tacinga braunii";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Bulbostylis edwalliana";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Sophronitis coccinea";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Mimosa lithoreas";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Pellaea gleichenioides";"Em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Chionolaena latifolia";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Stachytarpheta longispicata subsp. brevibracteata";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Schizaea fluminensis";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Constantia cristinae";"Criticamente em Perigo";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Pilocarpus giganteus";"Vulnerável";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008"
"Aniba rosaeodora";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Aspidosperma album";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Aspidosperma desmanthum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Aspidosper masandwithianum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Aspilia paraensis";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Axonopus carajasensis";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Bertholletia excelsa";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Cedrela odorata";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Centrolobium paraensis";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Centrosema carajasense";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Dicypellium caryophyllaceum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Erythroxylum nelsonrosae";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Eschweilera piresii ssp. piresii";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Eschweilera subcordata";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Euxylophora paraensis";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Gustavia erythrocarpa";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Hymenolobium excelsum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Ipomoea carajasensis";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Ipomoea cavalcantei";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Jacaranda carajasensis";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Jacaranda egleri";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Licania anneae";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Manilkara excelsa";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Manilkara huberi";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Mezilaurus itauba";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Mimosa acutistipula";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Mimosa skinneri Benth. var. carajarum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Peltogyne maranhensis";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Pilocarpus microphyllus";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Pouteria brevensis";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Pouteria decussata";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Qualea coerulea";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Selenipedium isabelianum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Selenipedium palmifolium";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Swietenia macrophylla";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Tabebuia impetiginosa";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Aechmea eurycorymbus";"Criticamente em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Banisteriopsis cachimbensis";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Cissus apendiculata";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Galeandra curvifolia";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Heteropsis flexuosa";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Heteropsis spruceana";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Hypolytrum paraense";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Jacaranda morii";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Monogereion carajensis";"Criticamente em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Physocalymma scaberrimum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Pilocarpus alatus";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Pleonotoma bracteata";"Em Perigo";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Protium giganteum var. crassifolium";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Protium heptaphyllum ssp. cordatum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Smilax longifolia";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Trichomanes macilentum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Ptychopetalum olacoides";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Handroanthus impetiginosus";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Handroanthus impetiginosum";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Manilkara elata";"Vulnerável";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007"
"Sylvilagus brasiliensis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Artibeus fimbriatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Gracilinanus microtarsus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Pecari tajacu";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Micoureus paraguayanus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Noctilio leporinus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Cynomops abrasus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Delomys dorsalis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Mimon bennettii";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Histiotus velatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Molossus rufus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Chiroderma doriae";"Regionalmente Extinta";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Trachops cirrhosus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Promops nasutus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Mazama gouazoubira";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Cerdocyon thous";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myocastor coypus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myotis levis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Oligoryzomys nigripes";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Mazama americana";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Chiroderma doriae";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Euphractus sexcinctus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Leopardus pardalis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Cavia aperea";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Didelphis albiventris";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Molossops neglectus";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Pygoderma bilabiatum";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eira barbara";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Sooretamys angouya";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Anoura caudifer";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Hydrochoerus hydrochaeris";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Lasiurus (Lasiurus) cinereus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Artibeus (Artibeus) lituratus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Vampyressa pusilla";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Chrotopterus auritus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Euryoryzomys russatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Galictis cuja";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Micronycteris megalotis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eumops hansae";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Nectomys squamipes";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Peropteryx macrotis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Noctilio albiventris";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Guerlinguetus ingrami";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Thaptomys nigrita";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Oligoryzomys flavescens";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Diphylla ecaudata";"Quase Ameaçada";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dasypus novemcinctus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Philander frenatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eptesicus diminutus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Lasiurus (Lasiurus) blossevilli";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Sphiggurus spinosus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Carollia perspicillata";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Sphiggurus viiosus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Molossus molossus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Cuniculus paca";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Procyon cancrivorus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eumops bonariensis";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Phyllostomus hastatus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Glossophaga soricina";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Akodon montensis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Nyctinomops laticaudatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Platyrrhinus lineatus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Sturnira (Sturnira) lilium";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myotis riparius";"Quase Ameaçada";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Alouatta clamitans";"Quase Ameaçada";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Artibeus (Artibeus) planirostris";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Necromys lasiurus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Alouatta caraya";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myotis nigricans";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dasyprocta azarae";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Lontra longicaudis";"Quase Ameaçada";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Platyrrhinus recifinus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dasyprocta azarae";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Megaptera novaengliae";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Artibeus (Dermanura) cinereus";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eptesicus furinalis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Desmodus rotundus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myotis ruber";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Akodon cursor";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Ozotoceros bezoarticus";"Criticamente em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Didelphis aurita";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Nasua nasua";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Holochilus brasiliensis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Sturnira tildae";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Eptesicus brasiliensis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Tamandua tetradactyla";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Otaria flavescens";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Artibeus obscurus";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Tadarida brasiliensis";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Anoura geoffroyi";"Pouco Preocupante";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dyckia hatschbachii";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Casearia paranaensis";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Vriesea muelleri";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dyckia distachya";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myrcia tenuivenosa";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Ocotea porosa";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Vriesea pinottii";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dorstenia tenuis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Araucaria angustifolia";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Balfourodendron riedelianum";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Aspidosperma australis";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Euxylophora paraensis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Ocotea catharinensis";"Vulnerável";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Dicksonia sellowiana";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Aspidosperma polyneuron";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Vriesea brusquensis";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Machaerium paraguariense";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Aspidosperma cylindrocarpon";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Ocotea odorifera";"Em Perigo";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Myrocarpus frondosus";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Aspidosperma ramiflorum";"Rara";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010"
"Mendoncia puberula";"Em Perigo";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014"
"Alstroemeria albescens";"Criticamente em Perigo";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014"
"Alstroemeria sellowiana";"Vulnerável";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014"
